	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
BIRD_5									piʈʈeːku											
BIRD_6										oɖa		kili								
BIRD_7											minu									
BIRD_8																paɾaʋai		paɾaʋai		
BIRD_9		pikki			hakki~pakʂi	pakʂi						pakʂi					pakʂi		pakki	pakʧi
BIRD_10								pakkiɡaɭ												
BITE_1													koːhi							
BITE_2																			tinaːɾa	
BITE_3									koɾaka						koɾk		koɾuku			
BITE_4	kaʧʧə	kaɖi~kajɾi		kask	kaɖi~kaʧʧu	kaɖi		kaɖə	kaʧʧaː	kʰaʧʧna	kaʧine					kaɖi				kaɖi
BITE_5							atekaʂin													
BITE_6																		paɾʧiʈʧi		
BITE_7			kaat kanninɡ																	
BITE_8												kadikkuɡa								
BLACK_1										mokʰaɾo			maɖhaɾo							
BLACK_2						kaɾtadə														kaɾtaji
BLACK_3									nalla								nalupu~nalla			
BLACK_4				kaɾə	kaɾu				kaːʈe		kadia									
BLACK_5	kappə				kappu			kaɾuppə				kaɾuppə				kaɾəppə		kappə	kappu	
BLACK_6			maːon																	
BLACK_7		kaɾtənu ipədə																		
BLACK_8							ɖaːɾiate													
BLOOD_1					ɾakta											ɾattam	ɾaktamu			
BLOOD_2												ɾektam								
BLOOD_3	ɾattə																			
BLOOD_4			ditaɾ					neːtuɾu							netiɾ					
BLOOD_5	nettuɾu	nəttəɾə		nettuɾ			nettuɾ		nettuɾ		nettiɾ			nettiɾ			nettuɾu		nettaɾə	
BLOOD_6										kʰeːns								poːkʰə		
BLOOD_7						ʧoːɾə						ʧoːɾa								ʧoːɾe
BLOOD_8													ɾasadu							
BONE_1										kʰoʧol			oːʧuldiː							
BONE_2												asti								
BONE_3					muːɭe	muːɭe			buːlaː~buːlk						bũla					muːɭe
BONE_4	ilə											ellə						elf	ellə	
BONE_5		jaləʋə			jelubu			jeluʋə								elumbə				
BONE_6				bokka			bokka										jemuka~bokka			
BONE_7			aɖɖə																	
BREAST_1				dudo																
BREAST_2																	ɡunde			
BREAST_3		kujndiɡi																		
BREAST_4			xad																	
BREAST_5													daibuku							
BREAST_6										jeʋakʰ									tiɡala	
BREAST_7					stʰana						sipadaki	stanam					stʰanamu			
BREAST_8																		niʤikuɖi		
BREAST_9							saːtti													
BREAST_10														palɡil						
BREAST_11									eddam						edɾam					
BREAST_12	maːɾə											maːru				maːɾbə~maːɾə				
BREAST_13					ede	mele		meːl				mula								mele
BURN_1			xaːxaɾ tinninɡ																	
BURN_2																			pottaʋaɾa	
BURN_3	kiʧiːkdə																			
BURN_4									maɳɖu								maɳɖu			
BURN_5					suɖu	ʧuːɖə														ʧuːɖə
BURN_6		bjaːɭ~ben																		
BURN_7								kaːto					meːda							
BURN_8		kattu~kettu															kaːlu			
BURN_9							ɡonɖka													
BURN_10										olna										
BURN_11																eɾi				
BURN_12												katikkuɡa								
BURN_13				niɾus																
BURN_14																		tiːkku kaːttiti		
CLAW_1												nakʰam				naɡam				
CLAW_2																				ummi
CLAW_3		kiːjəɡɡəɾə																		
CLAW_4								kaijoːɾu												
CLAW_5			zeel							oɾokʰ										
CLAW_6													oɾuɡdu							
CLAW_7						ʋoji									ɡẽɾi					
CLAW_8			hoɾ ad																	
CLAW_9	uɡilə			ɡoɾk	uɡaɾu		ɡoːɾ		ɡoːɾk								ɡoːɾu	juːɾ	uɡuɾu	
CLAW_10											ɡaɾka									
CLAW_11														kaʂʋanɖe						
CLOUD_1										badaːli										
CLOUD_2													badliː							
CLOUD_3	manʤu			mabbu					mabbu		haːɡu						mabbu			
CLOUD_4			ʤammaɾ																	
CLOUD_5															malɡuɾ					
CLOUD_6							aːbaɾ													
CLOUD_7											dunɖaɾa									
CLOUD_8		moːɖə			moːɖa	moːɖa											moːɖamu		moːɖa	moːɖa
CLOUD_9					mẽɡha			meːɡam				mekʰam				meːɡam	meːɡʰamu	meːɡam		
COLD_1		səjlijə																		
COLD_2						talinʤadə														
COLD_3							pani								paɲil					
COLD_4					taɳɳiɡe															taɳiʤe
COLD_5			jakʰ~jax	sallaɡ		koːʈa			sallaː				panijaː				ʧalla		ʧappa	
COLD_6										kiːɾna			kiʋa							
COLD_7	koɾuʋə							koɾʋə										koɾti		
COLD_8												taɳuppə								
COLD_9																kuɭiɾʧi				
COME_1		baːɾ~ban~bu		ʋa	baɾu~baː	baː	ʋa		ʋa			ʋaɾuɡa		ʋa	veɾ	ʋaː	ɾa	paːɾti	baɾaɾa	baː
COME_2										baɾna			baɾəaː							
COME_3	pappa																ʋaʧʧu			
COME_4			banninɡ																	
COME_5									ʋaːdaɖam											
DIE_1									ɖollatam											
DIE_2																		keɖuoisi		
DIE_3			kahinɡ																	
DIE_4																			sajjaɾa	
DIE_5							tiɡteːn													
DIE_6	saːʋadə																			
DIE_7								taːʋə												
DIE_8				haː											cay					
DIE_9					saːji	ʧːɭa										ʧaː				ʧaːɭa
DIE_10										kʰena										
DIE_11																sattə po				
DIE_12																	ʧaʧʧipoːʋu			
DIE_13		maɾdoːɡ																		
DIE_14												maɾikkuɡa								
DIE_15													keəaːnaːkeəidaːh							
DOG_1	ne	naːjə		nej	naːji	naːji		naːji	nej			naːja		ne		naːji		noi	naːji	naːji
DOG_2			kuʧak				aːte													
DOG_3															netta					
DOG_4										alla							kukka			
DOG_5													kuʧʧo							
DOG_6												paʈʈi								
DRINK_1				un					unnu	onna			hoːnaː	un	un					
DRINK_2								unatukə												
DRINK_3			kuninɡ																	
DRINK_4																	taːɡu			
DRINK_5																			paɾijaɾa	
DRINK_6					kudijoːdu															
DRINK_7							aniɾusaːt													
DRINK_8		kuɖi~kujɾi			kuɖi	kuɖipa						kuʈi				kuɖi				kuɖipə
DRINK_9	kuɖapə																			
DRINK_10												kudikkuɡa								
DRINK_11																		uʈʈudi		
DRY_1									poɖi								poɖi			
DRY_2			baːɾun																	
DRY_3	oɳikiladə																	oɳikisi		
DRY_4					oɳaɡidu	oɳanɡina						uɳanɡija								
DRY_5		ajnɡənu ipədə																		
DRY_6																			nunɡuduna	
DRY_7																kaːnʤə				unaku
DRY_8																	eɳɖu			
DRY_9								kanʈiko												
DRY_10										kʰajka			aːikaː							
DRY_11				ʋaʈʈa	battida							vaɾaɳʈa								
DRY_12									aɾtaːd											
DRY_13																kaindadə				
DRY_14																ulaɾnta				
DRY_15							aːtiɾ													
EAR_1														kekal	kekol					
EAR_2		kiʋija									kiɾiju									
EAR_3	kiʋi		xaf	keʋu	kiʋi	kemi	keʋ	keʋə	keʋ~keʋk			ʧeʋi					ʧeʋi	kili	kebi	kemi
EAR_4												kaːtu				kaːdə				
EAR_5										kʰebda										
EAR_6													daɾtiː							
EARTH (SOIL)_1										kʰekʰel				tukud	tũk					
EARTH (SOIL)_2																		koɖə		
EARTH (SOIL)_3											iɾaː									
EARTH (SOIL)_4									maʈʈi								maʈʈi			
EARTH (SOIL)_5				mannə	maɳɳu	mannə						mannə				mannə	mannu		mannə	
EARTH (SOIL)_6		buːmi					bʰuːmi				bʰumi		bʰumi							
EARTH (SOIL)_7			ɖaɡaːɾ																	
EARTH (SOIL)_8								bʰuloːɡam												
EAT_1										mokʰna										
EAT_2													lapah							
EAT_3				ʤeʋi															uɳaːɾa	
EAT_4			kuninɡ																	
EAT_5							aːntisatun													
EAT_6																saːpədə				
EAT_7		tinn			tinnu	tinə			tinnu		tinu	tinnuɡa		tin	tin		tinu			tinnoː
EAT_8	timbə																			
EAT_9								tin atej												
EAT_10																		toɾtin		
EAT_11													ʤaːɡoːlpah							
EGG_1	moʈʈe				moʈʈe	muʈʈe		mooʈə				muʈʈa				muʈʈe		muʈʈe		muʈʈe
EGG_2		mujɾɡi																		
EGG_3				miːnʤ																
EGG_4					tatti														ketti	
EGG_5			baede																	
EGG_6										biː										
EGG_7									ɡaɾbam								ɡuɖɖu			
EGG_8							sanku				tala									
EGG_9			xuahae																	
EGG_10													ɾaɾapaːndu							
EGG_11														kaɾbə						
EYE_1	kaɳɳə	kaɳɳu		kəɖə	kaɳɳə	kaɳɳə		kaɳɳə				kaɳɳə				kaɳɳə			kaɳɳu	kaɳɳə
EYE_2			xan				kan			kʰann	kanu				kan		kannu	kaɳ		
EYE_3													aːndu							
EYE_4														kaɳul						
EYE_5									koɳɖ											
EYE_6												neːtɾam								
FAT (FROM ANIMALS)_1										neʈa			neʤʤa							
FAT (FROM ANIMALS)_2		teɾija												meːn						
FAT (FROM ANIMALS)_3			ʧaɾpiː			ʧeɾabi													ʧeɾabi	ʧiɾabi
FAT (FROM ANIMALS)_4									laːʋ								laːʋu			
FAT (FROM ANIMALS)_5		tanniʋi																		
FAT (FROM ANIMALS)_6				koɾonʤ																
FAT (FROM ANIMALS)_7									kodoʋoːs											
FAT (FROM ANIMALS)_8								koɭupu							koɽukuɖ					
FAT (FROM ANIMALS)_9					kobbu												koʋʋu			
FAT (FROM ANIMALS)_10	koɭəppə											koɻuppə				koɻuppə		koɻəppə		
FEATHER_1					tupaʈa	topaʈa						tuːʋalə								
FEATHER_2																				toːpəʈaː
FEATHER_3													pakiː				iːka			
FEATHER_4		tiʋija																		
FEATHER_5	ɾakke							ɾeːkə	ɡeɾk							ɾekke		iɾakke		
FEATHER_6				buɾa															huʋi	
FEATHER_7							bull													
FEATHER_8			paɾɾe																	
FEATHER_9					ɡaɾi															
FEATHER_10										penʧo										
FIRE_1								nippu								neɾuppu	nippu			
FIRE_2									neɡɡaɖ											
FIRE_3												aɡni					aɡɡi			
FIRE_4					benki						dankeɾe									
FIRE_5				taɖmi																
FIRE_6			xaːxaɾ										ʧiʧadu							
FIRE_7												teː				teː			tuʋu	tiː
FIRE_8						titta				ʧiʧʧ								tiːttə		
FIRE_9							kiss		kis						kic					
FIRE_10	kiʧʧə	tissə~tiʧʧa																		
FIRE_11																	maɳʈa			
FISH_1							ɡuɖɖi													
FISH_2																	ʧeːpa			
FISH_3					maʦya							malsjam								
FISH_4															key					
FISH_5	miːnə	miːnu		miːn	miːnə	miːnə		miːnə				miːn	miːndu	miːn		miːnə		miːn	miːnə	miːnə
FISH_6									kiːke	inʤo										
FISH_7			maʧʧiː																	
FLY (MOVE THROUGH AIR)_1							tulsaːd		tulla											
FLY (MOVE THROUGH AIR)_2													uɖaːɾi							
FLY (MOVE THROUGH AIR)_3																	eɡuɾu		ɾaːpaɾa	
FLY (MOVE THROUGH AIR)_4		paːɾ~peːɾ		paɾi	haːɾu	paːɾa		paːɾʋu								paɾə		poːɾʧ		
FLY (MOVE THROUGH AIR)_5	paɾappə																			
FLY (MOVE THROUGH AIR)_6												paɾakkuɡa								
FLY (MOVE THROUGH AIR)_7			baːl kanninɡ																	
FLY (MOVE THROUGH AIR)_8										uɖijaɾna										
FLY (MOVE THROUGH AIR)_9																				mannə
FOOT_1	anɡaːlə					anɡaːl														
FOOT_2		kaːlə		kaːl						kʰeɖ						kaalə		koːl	kaːlə	kaːlə
FOOT_3					paːda						paːdami	paːdam		paːdam		paːdam	paːdamu			
FOOT_4			nat		aɖi				aɖuɡu			aʈi				aɖi	aɖuɡu			
FOOT_5													ɾaɖadu							
FOOT_6								tapaɖ												
FOOT_7							ʤeʈʈa													
FULL_1	tʰumbe					dumba														dumba
FULL_2					tumbidu															
FULL_3			puɾ											puneʈ		muɭu				
FULL_4		fullə																		
FULL_5											ɡuɾa									
FULL_6												niɾaɲa				nirainta				
FULL_7				niɳɖ			ninɖu		ninɖaː	nindka			nindpaː				ninɖu			
FULL_8																			dinʤidunɖu	
FULL_9																		soːkkaije		
GIVE_1	koɖu	koɖ			koɖu	koɖi										kuɖə			koɾo	koɖu
GIVE_2												koɖukkuɡa								
GIVE_3							siːtaːn			ʧihna			ʧibaːh							
GIVE_4				hi					iːm					ʧi	cĩ					
GIVE_5																	iʧʧu			
GIVE_6			tinninɡ																	
GIVE_7									iːdatam								iʋʋaɖam			
GIVE_8								tej			taa					taː				
GIVE_9																		itʧadta		
GOOD_1	oɭɭajadə				oɭɭijadu															
GOOD_2				assal															eɖɖedana	
GOOD_3							sobhatan													
GOOD_4		nall				nalla						nalla				nalla				nallə
GOOD_5										daːʋ										
GOOD_6									manʧid								manʧi			
GOOD_7			ʤuaːn																	
GOOD_8								oludə										ulti		
GOOD_9											nejun		heːɖu~ɾaɖu							
GREEN_1							niɡuɾ													
GREEN_2											nilia									
GREEN_3		passlaːnɡi~paʧʧəlaːnɡi																		
GREEN_4				hiː											pay					
GREEN_5			ɡuanakki										ɾanalo							
GREEN_6	paʧʧe			paʧʧad		paʧʧe		paʧʧə	paʧʧa			paʧʧa				paʧʧə	paʧʧa	paʧʧai	paʧʧe	paʧʧe
GREEN_7					hasiɾu						kasuli									
GREEN_8											aːkupaʧʧa									
GREEN_9										haɾijaːɾ										
HAIR (HEAD)_1	oɾame											ɾõmam								
HAIR (HEAD)_2												muɖi				muɖi				
HAIR (HEAD)_3		taːkəɾə																		
HAIR (HEAD)_4														talʧenʈi						
HAIR (HEAD)_5			puʒʒe							ʧuʈʈi										
HAIR (HEAD)_6						telami							taːli							tilami
HAIR (HEAD)_7				kel					kelk											
HAIR (HEAD)_8					kũdalu~kuːdalu														kuːʤal	
HAIR (HEAD)_9																maiɾə		miːɾs		
HAIR (HEAD)_10											bana									
HAIR (HEAD)_11									ʤuʈʈul								ʤuʈʈu			
HAIR (HEAD)_12							tiːɾu							ʧendi						
HAIR (HEAD)_13																	veɳʈɾukalu			
HAIR (HEAD)_14								manɖə miːɾə												
HAND_1	kaj			kaj	kaj	kaj		kaij	kaj			kaj		kiː	key	kaj		koi	kai	kaj
HAND_2		kiːja																		
HAND_3							keju				keju		ʈeʈu							
HAND_4			ɖuː							kʰekkʰa										
HAND_5																	ʧejji			
HEAD_1	manɖe	maɳɖi				maɳɖe		manɖə										maʈʈə	manɖa	
HEAD_2										kuk			kukudu							
HEAD_3				talla	tale		tal		talakaːj			tala		taːl	tel	talə	tala			tile
HEAD_4												ʂiɾasə								
HEAD_5											tɾajun									
HEAD_6			kaːʈum																	
HEAD LOUSE_1		pjaːnu	boːdʰ		heːnu	peːnə	paːnu			peːn		peːn			pẽni	peːnə	peːnu		peːn	peːnə
HEAD LOUSE_2				poɾki					poɾiki											
HEAD LOUSE_3	ili~kili																	iɾs		
HEAD LOUSE_4								paiji												
HEAR_1			bininɡ				ʋinti										ʋinu			
HEAR_2				kenʤ						menna			meːna~meːnpo		ven				keɳaɾa	
HEAR_3	keːpə	kəːɭ			keːɭu	keːɭə		keːlə	keːʤa							keːɭə		keːl		keːɭu
HEAR_4												kelkuɡa								
HEART_1					hɾudaya	hɾudaja						hɾudajam					hɾudajamu			
HEART_2																idajam				
HEART_3							paːnam													
HEART_4													huɡliː							
HEART_5																		manasə		
HEART_6		jaddi																		
HEART_7				ɡuɳɖe			ɡunɖe			buka							ɡuɳɖa			
HEART_8			ust					nenʤu												nenʤi
HEART_9														ʤibe						
HEART_10									ɡuɳɖekaːja											
HORN (ANATOMY)_1			maɾɡʰ							maɾaɡ			maɾɡadu							
HORN (ANATOMY)_2	kombə	kombbə			kombu	kombə	kommu		komm			kompə				kombə	kommu		kombu	kombə
HORN (ANATOMY)_3				koɾ														kuːɾ		
HORN (ANATOMY)_4									koːkku											
HORN (ANATOMY)_5														kaɾ ɡuʧul						
I_1			iː								mu									
I_2	na	naːʋə		nanna	naːnu	naːnə	neːnu	aːn	nanna	aeːn	naːnu	ɲaːn	heːnu	aːn	aːn	naːn	neːnu	oːn	jaːnu	naːn
KILL_1	koppə				kollu	kollə						kolluɡa				kollə				kollə
KILL_2		kenɡaːɭ																		
KILL_3								taːʋiɾ												
KILL_4																			keɾijaɾa	
KILL_5				kʰatamki																
KILL_6																	ʧampu			
KILL_7			kasfinɡ																	
KILL_8							alanɡʈaːn													
KILL_9				haʋka					aʋakaː											
KILL_10										eɖabna										
KILL_11													baʤpo							
KILL_12																		keɖukisti		
KNEE_1				tonɡɾa																
KNEE_2									boʈmiɳɖaː											
KNEE_3			ɡoːɖ																	
KNEE_4										muka			muːka			muːʈə				
KNEE_5							muɖsu													
KNEE_6					maɳɖi	maɳɖi														
KNEE_7	muʈʈi											muʈʈə				muʈʈi		muʈʈi		
KNEE_8					muɳakaːlo							muɻaŋkaːl				muɻaŋkaːl				
KNEE_9																				muːlekaːlə
KNEE_10								moːɡaːl	moːkaːl								moːkaːlu			
KNEE_11											mendaja			ʋanɡul						
KNEE_12		mannɡaːlə																		
KNEE_13																			meɳakaːləɡanʈu	
KNOW_1					telidiko											teɾinʤuko	telusuko~telusukonu			
KNOW_2									teluseː							teɾijum				
KNOW_3																			teɾijaɾa	
KNOW_4				jeɾpaʈ																
KNOW_5																	eraːɡu			
KNOW_6		ɡottaːɡ																		
KNOW_7								asuːbej												
KNOW_8			ʧaːinɡ											sun	pun					
KNOW_9							uɾtanɖaːt						haːhpo							
KNOW_10	aɾaʋə				aɾi	aɾi				akʰna		aɾajuɡa				ari				aɾiʋo
KNOW_11																		aɾspini		
KNOW_12													sikaːɾpo							
KNOW_13													baɖeminpo							
KNOW_14		ɡott uɳɖi																		
LEAF_1	elə	jali		aːki	jele		aːk	eːlu	aːkiː	atkʰa		ila	haːtʰa		ev	ele	aːku		iɾa	ele
LEAF_2																		eɾs		
LEAF_3														ʈunɖe						
LEAF_4			pann																	
LEAF_5						elakaɳɖa														
LEAF_6											patɾa									
LIE (REST)_1																	paɖukonu			
LIE (REST)_2																		pokkum		
LIE (REST)_3												kiɖakkuɡa								
LIE (REST)_4		baːʈɳu iːɾ																		
LIE (REST)_5																			buɾoːnaɾa	
LIE (REST)_6													koːɖpo			keɖə				
LIE (REST)_7	haɖaʋə	baːɖ								paiha						paɖə				
LIE (REST)_8						budda														biːndo
LIE (REST)_9									unʤa											
LIE (REST)_10					malaɡu										maɖ					
LIE (REST)_11				dolsi																
LIE (REST)_12				miɳɖsi																
LIE (REST)_13																		poaʈʧiː		
LIE (REST)_14										fasijaːɾ										
LIE (REST)_15							labaːɖ muɖsati													
LIE (REST)_16			dɾoɡʰ taɖinɡ																	
LIVER_1			ʤaɡaɾ																	
LIVER_2																		kuɖaːl		
LIVER_3							kaleja										kaːlejamu			
LIVER_4						tombe														tombe
LIVER_5				taɾki						umbalkʰo										
LIVER_6		tədlə																		
LIVER_7									kaːʤam			kaɾaɭə								
LIVER_8														taɖinɡ						
LIVER_9					hĩɾi								ʧedɾo							
LIVER_10								iːɾu				ĩɾal			taɾuŋɡ	iːɾaɭ				
LIVER_11					medaʤiːɾika															
LONG_1							poɖaːm										poɖaʋu			
LONG_2			muɾɡun																	
LONG_3									poɖaʋuʈaːdu											
LONG_4	utta	uddu			udda	uddə													uda	
LONG_5													diɡaɖo					neɾti		
LONG_6												niːnɖa				nĩɳʈa				niːʈa
LONG_7												niːlamuɭɭa				niːɭamaːna				
LONG_8				laːm				niːtam								niːɭam				
LONG_9										diɡaːh										
MAN_1									peːkaːl		kakasi									
MAN_2											kodomi									
MAN_3											ɖola									
MAN_4						aːnaaɭə						aːɳə				aːɳə~aːɳ			aːnʤʋu	
MAN_5			naɾeenə																	
MAN_6																aːmbɭe				
MAN_7									maɡaʋaːɳɖ								maɡaʋaːɖu			
MAN_8		ɡəɳɖaɭə		mankal	ɡanɖasu			ɡanmaɡu												
MAN_9							maniʂaːn													
MAN_10																				panija
MAN_11					puɾuʂa							puɾuʂan					puɾuʂuɖu			
MAN_12										meːt			muɖsaː							
MAN_13	kanɖumuɡa																			
MAN_14																		aːlom		
MANY_1				ʋellen						baɡɡe										
MANY_2									beʧʧoːko											
MANY_3						dumba														tumba
MANY_4				ʤaːsta																
MANY_5	appaɾa																	uppuːm		
MANY_6			baːz																baːɾi	
MANY_7					halaʋu				ʧaːla			pala				palə	ʧaːla			
MANY_8													diːkehi~ɡaːɖehi							
MANY_9							peɾe									neɾija				
MANY_10		kajɾijə																		
MANY_11												ottiɾi								
MANY_12																	naːnaː			
MANY_13								iːʤoːɖ												
MEAT_1					maːmsa							maːmsam					maːmsamu			
MEAT_2																			maːsa	
MEAT_3									anɡiː	ahɖaː										
MEAT_4	paːɖə~paːɡə		suː		baːɖu			podu										piːt		
MEAT_5													maːkɖu			kaɾi				
MEAT_6								keteɾi												
MEAT_7				haʋʋi												iraicci				
MEAT_8		əɾsi				eɾaʧi						iɾaʧi								iɾaʧi
MEAT_9							muɾija													
MOON_1			ʈuːbe					unaːʋə												
MOON_2				ʤanɡo							lenʤu									
MOON_3							nela	nelavə	nella					nelinɡ	neliɲ	nila		nila		nilaʧi
MOON_4													bilpdu							
MOON_5		pəɾi																		
MOON_6					candɾa~ʧendɾa	ʧendɾa													ʧendɾe	
MOON_7												ʧendɾan				cantiɾan				
MOON_8																	ʧendɾuɖu			
MOON_9										ʧando										
MOON_10									sanɖamaːma											
MOON_11	tinɡuʋa																			
MOUNTAIN_1												paɾʋatam					paɾʋatamu			
MOUNTAIN_2						kundə											konɖa			kundə
MOUNTAIN_3			maʃ						ɡubal	paɾta										
MOUNTAIN_4	male											mala				malai			daːɾi	
MOUNTAIN_5		bəʈʈə		meʈʈa	beʈʈa				meʈʈa											
MOUNTAIN_6								ʋeːʈume						kappe						
MOUNTAIN_7																		tiʈʈə		
MOUNTAIN_8							danɖimeːʈ													
MOUNTAIN_9													beːɖo pahaːɖi							
MOUTH_1				toɖɖi																
MOUTH_2																	noːɾu			
MOUTH_3							muːti			baji	ɡuʈi									
MOUTH_4	pe	baːjə	baː		baːji	baːji		ʋaːji				ʋaːja		ʧaːlu	vaːy	ʋaːji~ʋaː		poːi	baːji	baːji
MOUTH_5													toɾo							
MOUTH_6									pavuːɾ											
NAME_1										naːme			naːmi							
NAME_2	esaɾə				hesaɾu				pedeɾ						pidiɾ					
NAME_3		pjaːɾə	pin			peda	peːɾ	peːɾ				peɾə				peːɾə	peːɾu	peːɾ	pudaɾə	peːɾu
NAME_4				poɾol																
NAME_5											doɾu									
NECK_1		kpːmaːɭi																		
NECK_2					kuthiɡe															
NECK_3								kaɖateːl												
NECK_4																			kekkilə	
NECK_5				ɡuɖunɡa									ɖoːnɖo							
NECK_6																	meɖa	maɾ		
NECK_7									meɖakaːja											
NECK_8	katə											kaɻutə				kaɭuttə				
NECK_9			lex				mak													
NECK_10						boːɭe														boːɭe
NECK_11														kanɖ						
NECK_12													asaɾdu							
NECK_13										kʰesiɾ										
NEW_1							kota		kottad								kotta			
NEW_2	ostə				hosadu															
NEW_3																			posatta	
NEW_4																pudusə~pudu		puduːn		
NEW_5						pudija		pudijadə				pudija								pudijai
NEW_6				puna						puːna	puni		puːna		pun					
NEW_7		pəjjmən																		
NEW_8			puːskun																	
NEW_9														nia						
NIGHT_1								eːlumaɾam												
NIGHT_2									mulipe											
NIGHT_3					ɾaːtɾi							ɾaːtɾi				ɾaːtɾi	ɾaːtɾi		ɾaːtɾe	
NIGHT_4													ɾaːti							
NIGHT_5		ədlə																		
NIGHT_6											laːn									
NIGHT_7										maːha			maːaː							
NIGHT_8	iɾə		nam													iɾaːʋə~ɾaːʋə				
NIGHT_9				naɾkaɖ																
NIGHT_10						bajiʈə														
NIGHT_11																				andi
NIGHT_12							siɾbedin													
NIGHT_13																		ekkaːɖə		
NOSE_1			baːmus																	
NOSE_2													musoː							
NOSE_3	muːkə	muːkkə			muːɡə	muːkkə	muːkk	muːkə				muːkə				muːkə	mukku		muːɡu	muːkkə
NOSE_4															muvãɖ					
NOSE_5										muːji										
NOSE_6											munɡeli			munɡan						
NOSE_7				mosoɾ					mossoːɾ											
NOSE_8																		mittuːp		
NOT_1													hambija							
NOT_2																		aːɖudi		
NOT_3							kaːdu										leːdu~kaːdu			
NOT_4			aːxa																aːtu	
NOT_5		ila~ala								mala			malaː							
NOT_6	kulle			helle	alla	ille		illa	ille			illa				ille				ille
NOT_7			ne																	
ONE_1			asit					oːdit												
ONE_2	ondə	ʋandə		ondi	ondu	ondə				oːnd	ɾanɖi	onnə	oːnd		ok	onnə	okaʈi		onʤi	onʤu
ONE_3							okkoːt		oɾɾoːʈ											
ONE_4														okuʈi						
ONE_5																		uttə		
PERSON_1			bandaɡ										malah							
PERSON_2					manusa	manasa						manuʂan				manitan~manuʂan	maniʂi		manuʂeː	manuʧe
PERSON_3							maniʂaːn													
PERSON_4		aːɭə~aːɭu		lokuɾ						aːl										
PERSON_5	kanɖə																			
PERSON_6																		kinnuːɖə		
PERSON_7									mansuːɳɖ											
RAIN (PRECIPITATION)_1																	ʋaɾʂam		baɾsa	
RAIN (PRECIPITATION)_2							ʋaːna		ʋaːna				ʤaɖaː		vaːni		ʋaːna			
RAIN (PRECIPITATION)_3	me	maɭi			maɭe	maɭe		mai				maɻa				maɻai				maɭe
RAIN (PRECIPITATION)_4			peɾ	piɾ						ʧeːp	bela									
RAIN (PRECIPITATION)_5																		meɖutti		
RED_1											ɡaɖɡa				key					
RED_2						ʧoːpə										cem				ʧoːpə
RED_3	keppə				kempu							ʧumappə				seʋappə~seɡappə		keppə	kempu	
RED_4							jeɾuɖi				netuɾi						eɾupu			
RED_5				eɾɾaɡ~jeɾɾaɡ					eɾɾa	kheso			eːso							
RED_6								netiɾ												
RED_7			xiːsun																	
RED_8		tissəɡaɳɖaːnɡi																		
ROAD_1					maːɾɡa												maːɾɡamu			
ROAD_2						baːte											baːʈa			
