	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guilin	Ha'erbin	Jinan	Jixi	Loudi	Meixian	Nanchang	Nanjing	Rongcheng	Suzhou	Taiyuan	Wenzhou	Xi'an	Xiamen
BIRD_2	njɑu²¹³	ɲjau⁴¹		ʦɛu³²	nju²³	tjɑu²³	njau²¹³~ʨʰjau²¹³	ɲjɔ⁴⁵	ɲje²¹³			ɲjɛu²¹³	ljɔ¹¹		tjæ⁵²	njau⁵³		ʨʰjɑu⁵³	ʦjau⁵³
BIRD_3										tjɤ⁴²ʨi³⁵	tjau³³ve⁰								
BIRD_4																	tjɛ²⁴²ŋ̍⁰		
BITE_1				ka²⁴²															ka²²
BITE_2	jɑu²¹³	ŋa⁴¹	ŋau⁵³		ŋau²³	ŋɑu²³	jau²¹³	jɔ⁴⁵	ŋɤ²¹³	ŋa³⁵		ŋau²¹³	jɔ¹¹	jau²¹⁴	ŋæ²³¹	jau⁵³	ŋwɔ²⁴²	ɲjɑu⁵³	
BITE_3											ŋat¹								
BLACK_1				u⁵⁵															ɔ⁵⁵
BLACK_2	xei⁵⁵	xə²⁴	xe²¹		hɐk³	xei⁵⁵	xei⁴⁴	xei²¹⁴	xɤʔ³²	xe¹³	het¹	hɛt⁵	xeʔ⁵	xɛ²¹⁴	həʔ⁴	xəʔ²	he⁴¹	xei²¹	
BLOOD_1				haiʔ²⁴															hwiʔ³²
BLOOD_2	ɕɥɛ²¹³	ɕje²⁴	ɕɥe²¹		hyt³	ɕɥe⁵⁵	ɕɥɛ²¹³	ɕjə²¹⁴	ɕɥaʔ³²	swe¹³	çjat¹	ɕɥet⁵	ɕɥeʔ⁵	sjɛ²¹⁴	ɕɥəʔ⁴	ɕɥəʔ²	ɕy⁴¹	ɕjɛ²¹	
BONE_1	ku²¹⁴			kɔuʔ²¹	kwɐt⁵				kwɤʔ³²								ky⁴¹		
BONE_2		ku²⁴təu⁰	ku²¹tʰəu²¹			ku⁵⁵tai²²	ku²¹³tʰou⁰	ku²¹⁴tʰou⁰		ku¹³djɤ¹³	kut¹tʰeu¹¹	kuʔ⁵tʰəu⁰	kuʔ⁵tʰəɯ¹³	ku²¹⁴tʰə⁰	kwəʔ⁴dʏ¹³	kwəʔ²təu⁰	ky⁴²dɤu³⁴¹	ku²¹tʰou⁰~ku²¹tou⁰	kut³²tʰau²⁴
BONE_3				kɔuʔ²⁴kɔuʔ²⁴															
BREAST_1	ʐu²¹⁴fɑŋ³⁵	y⁴¹fan¹³			y²³fɔŋ²¹	lai²³fɑŋ²²							lu¹¹fɑ̃¹³					vu⁵³fɑŋ²¹	
BREAST_2				nɛiŋ⁵³								lai²¹³				nai⁵³	na²⁴		
BREAST_3			lai⁴⁵lai⁵⁵					ma²¹³ma⁰											
BREAST_4															nɑ¹³nɑ¹³				
BREAST_5		lai⁴¹ʦɹ̩⁰					nai²¹³ʦɹ̩⁰	nɛ⁴⁵ʦɹ̩⁰	lɔ³⁵ʦɹ̩⁰					nai²¹⁴ʦɹ̩⁰					
BREAST_6																			njæ⁵³jã⁵³
BREAST_7										la³⁵bu¹³									
BREAST_8							ʦa⁴⁴												
BREAST_9											nen⁵³ku³³								
BURN_1	ʂɑu⁵⁵	sau³³	sau⁴⁵	sjeu⁵⁵	sju⁵³	sɑu⁴²	ʂau⁴⁴	ʂɔ²¹⁴	ɕjo⁵⁵	ɕjɤ⁴⁴	sau³³	sɛu⁴²	sɔ³¹	ʂau⁵²	sæ⁴⁴	sau²¹	ɕjɛ⁴⁴	ʂɑu²¹	sjo⁵⁵
CLAW_1															ʨjɑʔ⁴ʦæ⁵²		ʨja⁴¹ʦwɔ²⁴²		
CLAW_2				kʰa⁵⁵ʦau³²															
CLAW_3	ʈ͡ʂwa²¹³	ʦau⁴¹		ʦau³²	ʦau³⁵						ʦau³¹					ʦwa⁵³			
CLAW_4		ʦau⁴¹ʦɹ̩⁰	ʦwa⁵³ʦwa²¹			ʦɑu²³ʦe²³	ʈ͡ʂwa²¹³ʦɹ̩⁰	ʈ͡ʂwa⁴⁵ʦɹ̩⁰	ʦɤ²¹³ʦɹ̩⁰	ʦɤ⁴²ʦɹ̩⁰		ʦwa²¹³ʦɹ̩⁰	ʦwɑ¹¹ʦɹ̩⁰	ʈ͡ʂwa²¹⁴ʦɹ̩⁰				p͡fɑ⁵³ʦɹ̩⁰	
CLAW_5																			ɡɔ²²njãu⁵³liŋ²⁴
CLOUD_1	yn³⁵	yn¹³	yn²¹	huŋ⁵³	wɐn²¹	yŋ²²		ɥẽ⁵³	ɥɑ̃⁴⁴	un¹³	jun¹¹	yn²⁴	in¹³	yn⁵²	ɦɥən¹³	yŋ²¹	ɥoŋ³⁴¹	ɥẽ²⁴	hun²⁴
CLOUD_2							yn²⁴ʦʰai⁰												
COLD_1				kaŋ⁵³															kwã²⁴
COLD_2	ləŋ²¹⁴	lən⁴¹	nən⁵³		laŋ²³	lei²³	ləŋ²¹³	ləŋ⁴⁵	nẽ²¹³	njɔ̃⁴²	laŋ³³	laŋ²¹³	lən¹¹	ləŋ²¹⁴	la²³¹	ləŋ⁵³	ljɛ²⁴²	ləŋ⁵³	liŋ⁵³
COLD_3				tɔyŋ²¹²~ʦʰiŋ²¹²															ʦʰin²¹
COME_1	lɛ³⁵	lai¹³	lai²¹	li³²	lɔi²¹	lai²²	lai²⁴	lɛ⁵³	na⁴⁴	le¹³	loi¹¹	lai⁴⁵	nɛ¹³	lai³⁵	le̞¹³	lai²¹		lɛ²⁴	lai²⁴
COME_2																	ʦau²⁴²lo⁰		
DIE_1	sɹ̩²¹³	sɹ̩⁴¹	sɹ̩⁵³	si³²	sei³⁵	sɹ̩²³	sɹ̩²¹³	sɹ̩⁴⁵	sɹ̩²¹³	sɹ̩⁴²	sɹ̩³¹	sɹ̩²¹³	sɹ̩¹¹	sɹ̩²¹⁴	si⁵²	sɹ̩⁵³	sɹ̩²⁴²	sɹ̩⁵³	si⁵³
DIE_2		tan¹³sɹ̩⁵⁵lan¹³																	
DIE_3		kwa³³																	
DOG_1	kou²¹⁴	kəu⁴¹	kəu⁵³	kʰɛiŋ³²	kɐu³⁵	kai²³	kou²¹³	kou⁴⁵	ki²¹³	tjɤ⁴²	keu³¹	kjɛu²¹³	kəɯ¹¹	kou²¹³	kʏ⁵²	kəu⁵³	kau²⁴²	kou⁵³	kau⁵³
DOG_2				kʰɛiŋ³²ŋjaŋ³²															
DRINK_1					jɐm³⁵														lim⁵⁵
DRINK_2	xɤ⁵⁵	xo²⁴	xo⁴⁵			xwo⁵⁵	xɤ⁴⁴	xɤ²¹⁴	xɤ⁵⁵			hot²	xoʔ⁵	xa²¹⁴	haʔ⁴	xəʔ²	ha⁴¹	xwo²¹	
DRINK_3				sjøʔ⁵							sət⁵								
DRINK_4		ʨʰja²⁴		ʦʰwoʔ²⁴						ʨʰjɔ¹³					ʨʰjəʔ⁴				
DRY_1	kan⁵⁵	kan³³	kan⁴⁵	kaŋ⁵⁵~ta⁵⁵	kɔn⁵³	kã²³	kan⁴⁴	kæ̃²¹⁴	kɔ⁵⁵	kã⁴⁴	kon³³	kon⁴²	kɑ̃³¹	kɐn³³⁴	kø⁴⁴	kæ̃²¹	ky⁴⁴	kæ̃²¹	ta⁵⁵
DRY_2																	sə⁵¹		
EAR_1	ə²¹⁴	ə⁴¹	ə⁵³	ŋɛi²⁴²												ə⁵³		ə⁵³	
EAR_2					i²³ʦɐi³⁵														
EAR_3																			hi²²ja⁵³
EAR_4		ə⁴¹to⁰	ə⁵³to⁵⁵			y²³tu²³	ə²¹³two⁰	ə⁴⁵twɤ⁰	ẽ²¹³tɵ²¹³	ɤ⁴²tɤ⁰		ɵ²¹³tɔ⁰	ə¹¹to⁴⁴	ə²¹⁴tə⁰	ɲ²³¹təu⁵²	ə⁵³twɤ⁰	ŋ̍²⁴to²⁴²	ə⁵³two⁰	
EAR_5											ŋi³¹kuŋ³³								
EARTH (SOIL)_1			ti²¹³						ʦʰɹ̩³¹	di¹¹			ti⁴⁴			ti⁴⁵		ti⁴⁴	
EARTH (SOIL)_2	tʰu²¹³ti⁵¹	tʰəu⁴¹ti¹¹	tʰu⁵³ti²¹³	tʰu⁵³lɛi²⁴²	tʰou³⁵tei²²	tʰu²³ti²¹	tʰu²¹³ti⁵³	tʰu⁴⁵ti³¹	tʰu²¹³ʦʰɹ̩³¹	tʰɤu⁴²di¹¹	tʰu³¹tʰi⁵³	tʰu²¹³tʰi⁴²	tʰu¹¹ti⁴⁴	tʰu²¹³ti³³⁴	tʰəu⁵²di²³¹	tʰu⁵³ti⁴⁵	tʰøy²⁴²dei²²	tʰou⁵³ti⁴⁴	tʰɔ⁵³twe²²
EARTH (SOIL)_3															di²³¹bi¹³				
EAT_1				sjeʔ⁵	sek²						sət⁵								ʦjaʔ⁵
EAT_2	ʈ͡ʂʰɻ̩⁵⁵	ʨʰja²⁴	ʦʰɹ̩²¹			ʨʰi⁵⁵	ʈ͡ʂʰɻ̩⁴⁴	ʈ͡ʂʰɻ̩²¹⁴	ʨʰjeʔ³²	ʨʰjɔ¹³		ʨʰjaʔ⁵	ʈ͡ʂʰɻ̩ʔ⁵		ʨʰjəʔ⁴	ʦʰəʔ²	ʦʰɹ̩⁴¹	ʈ͡ʂʰɻ̩²¹	
EAT_3														tai²¹⁴					
EGG_1	ʨi⁵⁵tan⁵¹	ʨi³³tan¹¹	ʨi⁴⁵tan²¹³	kje⁵⁵lɔuŋ²⁴²	kɐi⁵³tan²²	ʨi⁴²tã²¹	ʨi⁴⁴tan⁵³	ʨi²¹⁴tæ̃⁴¹		ʨi⁴⁴dã¹¹	ke³³lon³¹	ʨʰi⁴²tʰan²¹	ʨi³¹tɑ̃⁴⁴	ci⁵²tɐn²¹⁴	ʨi⁴⁴de̞²³¹	ʨi²¹tæ̃⁴⁵	ʦɹ̩⁴⁴laŋ²⁴	ʨi²¹tæ̃⁰	kwe⁵⁵nŋ̍²²
EGG_2									ʦɹ̩⁵⁵ʦɹ̩²¹³										
EYE_1				mɛiʔ⁵ʦjeu⁵⁵															bak⁵ʦju⁵⁵
EYE_2							jan²¹³									je⁵³			
EYE_3																		njæ̃⁵³wo⁰	
EYE_4	jɛn²¹³ʨiŋ⁵⁵	ŋan⁴¹ʨin⁰	jɛn⁵³ʨin⁵⁵		ŋan²³ʦɛŋ⁵⁵		jan²¹³ʨiŋ⁰	jæ̃⁴⁵ʨiŋ⁰	ŋo²¹³ʨjɑ̃⁵⁵			ŋan²¹³ʨjaŋ⁰	jen¹¹ʨin⁰	jɐn²¹⁴ʦiŋ⁵²		je⁵³ʨiŋ⁰			
EYE_5						ŋã²³ʦei⁴²				ŋã⁴²ʨy⁴⁴	ŋjan³¹ʦu³³				ŋe̞²³¹u⁴⁴ʦɻ̩ʷ⁴⁴				
EYE_6																	ŋa²⁴leŋ³⁴¹ʦɹ̩⁴⁴		
FAR_1	ɥɛn²¹³	ɥẽ⁴¹	ɥan⁵³		yn²³	ɥã²³	ɥan²¹³	ɥæ̃⁴⁵	ɥẽ²¹³	wĩ⁴²	jan³¹	ɥon²¹³	ɥen¹¹	ɥɐn²¹⁴	ɦjø²³¹	ɥe⁵³	ju²⁴	ɥæ̃⁵³	wan⁵³
FAR_2				hwoŋ²⁴²															
FAT (ORGANIC SUBSTANCE)_1			jəu²¹						jɵ⁴⁴		ju¹¹	ju⁴⁵	jəɯ¹³			jəu²¹		jou²⁴	
FAT (ORGANIC SUBSTANCE)_2				jeu⁵³ʒje⁵⁵															
FAT (ORGANIC SUBSTANCE)_3					kou⁵³														
FAT (ORGANIC SUBSTANCE)_4	ʈ͡ʂɻ̩²¹³fɑŋ³⁵	ʦɹ̩³³fan¹³					ʈ͡ʂɻ̩²¹³faŋ²⁴	ʈ͡ʂɻ̩²¹⁴fɑŋ⁴⁵	ʦɹ̩²¹³xõ⁴⁴			ʦɹ̩²¹³faŋ²¹	ʈ͡ʂɻ̩¹¹fɑ̃¹³	ʈ͡ʂɻ̩²¹⁴faŋ³⁵		ʦɹ̩⁵³fɒ̃⁰		ʦɹ̩²¹fɑŋ²⁴	
FAT (ORGANIC SUBSTANCE)_5																	ʦɹ̩⁴⁴hwɔ⁴⁴		
FAT (ORGANIC SUBSTANCE)_6						pã²³jou²²													
FAT (ORGANIC SUBSTANCE)_7															ʦɑ̃⁴¹²ɲjoʔ²³				
FAT (ORGANIC SUBSTANCE)_8										ɣwi¹³nio³⁵ʦɹ̩⁰									
FEATHER_1	y²¹³mɑu³⁵	y⁴¹mau¹³	y⁵³mau²¹	y³²mau⁵³~mau⁵³mau⁵³	y²³mou²¹	mɑu²²	y²¹³mau²⁴	y⁴⁵mɔ⁵³~mɔ⁵³	y²¹³mɤ⁴⁴~mɤ⁴⁴	y⁴²mɤ¹³	i³³mau³³	y²¹³mau⁴⁵	i¹¹mɔ¹³	y²¹³mɔ⁵²	y⁴⁴mæ¹³~mæ¹³	y⁵³mau²¹	vu²⁴mə³⁴¹~mə³⁴¹	mɑu²⁴	
FEATHER_2																			sit⁵mŋ̍²⁴
FIRE_1	xwo²¹⁴	xo⁴¹	xo⁵³	hwoi³²	fɔ³⁵	xwo²³	xwo²¹³	xwɤ⁴⁵	xɵ²¹³	xo⁴²	fo³¹	fo²¹³	xo¹¹	xwɔ²¹⁴	həu⁵²	xwɤ⁵³	fu²⁴²	xwo⁵³	he⁵³
FISH_1	y³⁵	y¹³	y²¹	ŋy⁵³	y²¹		y²⁴	y⁵³	ɲy⁴⁴	y¹³		ɲje⁴⁵	ɥi¹³	y⁵²	ŋ̍¹³	y²¹		y²⁴	hi²⁴
FISH_2											nn̩¹¹						ŋøy³⁴¹		
FISH_3						ŋ̍t²³sɹ̩⁰te³³													
FLESH_1	ʐou⁵¹	ʐəu²⁴	zəu²¹³			jou⁵⁵	ʐou⁵³	ʐou³¹		nio³⁵			ʐəɯ⁴⁴	jou³³⁴		zəu⁴⁵	ɲjeu²¹	ʐou⁴⁴	
FLESH_2				nyʔ⁵					ɲɥoʔ³²		ŋjuk¹	ɲjuʔ⁵			ɲjoʔ²³				baʔ³²
FLESH_3					ik²														
FLY (MOVE THROUGH AIR)_1	fei⁵⁵	fei³³	fei⁴⁵	pwoi⁵⁵	fei⁵³	fei⁴²	fei⁴⁴	fei²¹⁴	fi⁵⁵	xwi⁴⁴	fi³³	fɨi⁴²	fei³¹	fe⁵²	fi⁴⁴	fei²¹	fei⁴⁴	fei²¹	pe⁵⁵
FOOT_1				kʰa⁵⁵															kʰa⁵⁵
FOOT_2	ʨjɑu²¹⁴	ʨjo²⁴			kœk³		ʨjau²¹³	ʨɥɤ²¹⁴	ʨɥoʔ³²	djo¹³	kjok¹	ʨjoʔ⁵	ʨjoʔ⁵	cɥɔ²¹⁴	ʨjɑʔ⁴	ʨjau⁵³	ʨja⁴¹	ʨɥo²¹	
FOOT_3			ʨɥo²¹pə⁵³																
FOOT_4						ɕy⁵⁵te²²													
FOOT_5							ʨjau²¹³ja⁴⁴ʦɹ̩⁰												
FULL_1	man²¹⁴	mõ⁴¹	man⁵³	mwaŋ³²	mun²³	mã²³	man²¹³	mæ̃⁴⁵	mɑ̃²¹³	mẽ⁴²	man³³	mon²¹³	mɑ̃¹¹	mɐn²¹⁴	mø²³¹	mæ̃⁵³	mø²⁴²	mæ̃⁵³	mwã⁵³
FULL_2			pau²¹³																
FULL_3				ko²¹²louŋ⁵³															
GIVE_1									xɑ̃³⁵								ha⁵¹		
GIVE_2																			ho²²
GIVE_3		pa⁴¹										pa²¹³							
GIVE_4	kei²¹⁴						kei²¹³	ʨi⁵³				kei²¹³	ʨi¹¹	kei²¹⁴		kei⁵³		kei⁵³	
GIVE_5			ke⁴⁵												pəʔ⁴				
GIVE_6				kʰøyʔ²⁴	kʰɐp⁵						kip¹								
GIVE_7				kɔyŋ⁵⁵															
GIVE_8						tja⁵⁵													
GIVE_9										nɔ⁴⁴sɹ̩³⁵									
GOOD_1	xɑu²¹⁴	xau⁴¹	xau⁵³	ho³²	hou³⁵	xɑu²³	xau²¹³	xɔ⁴⁵	xɤ²¹³	xɤ³⁵	hau³¹	hau²¹³	xɔ¹¹		hæ⁵²	xau⁵³	hə²⁴	xɑu⁵³	ho⁵³
GOOD_2							pu⁵³lai⁵³							pu²¹⁴ʦʰau³³⁴					
GOOD_3							tai⁵³ʨiŋ⁵³												
GREEN_1	ly⁵¹	ləu²⁴	nu²¹	lwoʔ⁵	lok²	ljou⁵⁵	ly⁵³	ly³¹	nɤʔ²³	lɤu³⁵	ljuk⁵	ljuʔ⁵	luʔ⁵	ly²¹⁴	loʔ²³	ly⁴⁵	lo²¹	ljou²¹	lik⁵
HAIR (HEAD)_1						tai²²mau²²			tʰi⁴⁴mɤ⁴⁴										tʰau²⁴mŋ̍²⁴
HAIR (HEAD)_2	tʰou³⁵fa⁵¹	təu¹³fa²⁴	tʰəu²¹fa²¹	tʰau⁵³woʔ²⁴	tʰɐu²¹fat³		tʰou²⁴fa⁰	tʰou⁵³fa⁰	tʰi⁴⁴faʔ³²	djɤ¹³xɔ⁰		tʰɛu²⁴fat⁰	tʰəɯ¹³fɑʔ⁵	tou³⁵fa⁰	dʏ¹³faʔ⁴	tʰəu²¹faʔ²	dɤu³⁴¹ho⁴¹	tʰou²⁴fɑ⁰	
HAIR (HEAD)_3											tʰeu¹¹na¹¹mau³³								
HAND_1	ʂou²¹³	səu⁴¹	səu⁵³	ʦʰjeu³²	sɐu³⁵	sou²³	ʂou²¹³	ʂou⁴⁵	si²¹³	ɕio⁴²	su³¹	ɕju²¹³	səɯ¹¹	ʂou²¹⁴	sʏ⁵²	səu⁵³	ɕjeu²⁴	ʂou⁵³	ʦʰju⁵³
HAND_2		səu⁴¹pa⁵⁵ʦɹ̩⁰																	
HEAD_1	tʰou³⁵	təu¹³	tʰəu²¹	tʰau⁵³	tʰɐu²¹	tai²²	tʰou²⁴	tʰou⁵³	tʰi⁴⁴	djɤ¹³		tʰɛu²⁴	tʰəɯ¹³	tou³⁵	dʏ¹³	tʰəu²¹	dɤu³⁴¹	tʰou²⁴	
HEAD_2											tʰeu¹¹na¹¹								
HEAD_3																		sɑ²⁴	
HEAD_4		lau⁴¹kʰo⁰																	
HEAD_5																			tʰau²⁴kʰak³²
HEAD_6																təʔ²lau⁵³			
HEAR_1	tʰiŋ⁵⁵ʨjɛn⁵¹	tʰin³³ʨjẽ⁵⁵	tʰin⁴⁵tau⁵³	tʰjaŋ⁵⁵ŋjeŋ²¹²	tʰɛŋ⁵³kin³³	tʰei⁴²ʨjã²⁵	tʰiŋ⁴⁴ʨjan⁵³	tʰiŋ²¹³ʨjæ̃⁰	tʰjɑ̃³⁵ʨjẽ³⁵	tʰjɔ̃⁴⁴ʨjæ³⁵		tʰjaŋ⁴²ʨjɛn⁴⁵	tʰin⁴⁴ʨjen⁴⁴	tʰiŋ⁵²cjɐn³³⁴	tʰin⁴⁴ʨjɪ⁴¹²	tʰiŋ²¹ʨje⁴⁵	tʰeŋʥja²¹	tʰiŋ²¹ʨjæ̃⁰	tʰjã⁵⁵tjo⁰
HEAR_2											tʰaŋ³³								
HEART_1	ɕin⁵⁵ʦɑŋ⁵¹	ɕin³³ʦan¹¹		siŋ⁵⁵ŋouŋ²⁴²	sɐm⁵³ʦɔŋ²²	ɕiŋ⁴²ʦɑŋ²¹	ɕin⁴⁴ʦaŋ⁵³	ɕjẽ²¹³ʦɑŋ²¹	ɕjɑ̃⁵⁵ʦʰɔ³¹		sim³³ʦʰoŋ⁵³	ɕin⁴²ʦɔŋ⁴²	ɕin³¹ʦɑ̃⁴⁴	sin⁵²ʦaŋ³³⁴	sin⁴⁴zɑ̃⁴⁴	ɕin²¹ʦɒ̃⁴⁵	saŋ⁴⁴zwɔ²²	ɕjẽ²¹ʦɑŋ⁴⁴	sim⁵⁵ʦɔŋ²²
HEART_2	ɕin⁵⁵	ɕin³³	ɕin⁴⁵	siŋ⁵⁵	sɐm⁵⁵	ɕiŋ⁴²	ɕin⁴⁴	ɕjẽ²¹⁴	ɕjɑ̃⁵⁵	ɕin⁴⁴	sim³³	ɕin⁴²	ɕin³¹	sin⁵²	sin⁴⁴	ɕin²¹	saŋ⁴⁴	ɕjẽ²¹	sim⁵⁵
HEART_3										ɣwẽ¹³ɕin⁴⁴									
HEAVY_1	ʈ͡ʂuŋ⁵¹	ʦən¹¹	ʦoŋ²¹³	tɔyŋ²⁴²	ʦoŋ²²	ʦwɤŋ²³	ʦuŋ⁵³	ʈ͡ʂuŋ³¹	ʦʰɑ̃²¹³	dɤn¹¹	ʦʰuŋ⁵³	ʦʰuŋ²¹	ʦoŋ⁴⁴	ʈ͡ʂoŋ³³⁴	zoŋ²³¹	ʦuŋ⁴⁵	ʥɥɔ²⁴	p͡fəŋ⁴⁴	taŋ²²
HORN (ANATOMY)_1			ʨɥo²¹ʨɥo²¹	køyʔ²⁴koyʔ²⁴															
HORN (ANATOMY)_2									ʨɥoʔ³²nn̩⁰										
HORN (ANATOMY)_3											kok¹ve⁰								
HORN (ANATOMY)_4					kɔk³	kɑu⁵⁵			koʔ³²	ko¹³		kɔʔ⁵	koʔ⁵		koʔ⁴		ko⁴¹		kak³²
HORN (ANATOMY)_5	ʨjɑu²¹⁴	ʨjo²⁴					ʨjau²¹³	ʨɥɤ²¹⁴						cɥɔ²¹⁴		ʨɥəʔ²		ʨɥo²¹	
HOT_1	ʐɤ⁵¹	ɥe²⁴	ze²¹	jeʔ⁵	it²	lje⁵⁵	ʐy⁵³	ʐy³¹	ɲjaʔ³²	je¹³		lɛt⁵	ʐeʔ⁵	jɛ²¹⁴	ɲjɛʔ²³	zəʔ²	ɲi²¹	ʐɤ²¹	ljat⁵
HOT_2											sau³³								
I_1	wo²¹³	ŋo⁴¹	ŋo⁵³	ŋwai³²	ŋɔ²³	wo²³	wo²¹³	vɔ⁴⁵	ɔ²¹³	ŋ̍⁴²	ŋai¹¹	ŋo²¹³	o¹¹	wɔ²¹⁴	ŋəu²³¹	ɣɤ⁵³	ŋ̍²⁴	ŋɤ⁵³	ŋwa⁵³
KILL_1	ʂa⁵⁵	sa²⁴	sa²¹		sat³	sa⁵⁵	ʂa⁴⁴	ʂa²¹⁴	saʔ³²	sa¹³	sat¹	sat⁵	sɑʔ⁵	ʂa²¹⁴	saʔ⁴	saʔ²	sa⁴¹	sɑ²¹	
KILL_2			ʦai⁵³	tʰai⁵³															tʰai²⁴
KNEE_1	ʨʰi⁵⁵	ɕi²⁴																ʨʰi²¹	
KNEE_2																ɕjəʔ²			
KNEE_3							pɤ²¹³ləŋ⁰ka⁵³						po³¹lo¹³kə⁴⁴	pɔ⁵²lə⁰kai³³⁴					
KNEE_4															ʨjɑʔ⁴mø¹³dʏ¹³				
KNEE_5																	ʨja³¹kʰø⁴¹dɤu³⁴¹		
KNEE_6									ʨɥoʔ³²ɕjeʔ⁵⁵tʰi⁴⁴										
KNEE_7		kə²⁴ɕi²⁴ku⁰	kʰe²¹ɕi²¹tʰə²¹																
KNEE_8																		kʰɯ²¹ʨʰi²¹kɛ⁴⁴	
KNEE_9				kʰa⁵⁵βuʔ²⁴tʰau⁵³															
KNEE_10													kʰu⁴⁴ʨʰi⁰tʰɯ¹³						
KNEE_11		ɕi²⁴kai⁵⁵					ɕi²¹³kai⁵³	ʨʰi²¹⁴ka²¹				ʨʰit⁵kai⁴²				ɕjəʔ²kai⁴⁵			
KNEE_12													ɕiʔ⁵kɛ⁴⁴kuʔ⁵						
KNEE_13					sɐt⁵tʰɐu²¹	ɕy⁵⁵tai²²					ʦʰit¹tʰeu¹¹								
KNEE_14		ɕi²⁴təu¹³ku⁰								ʨʰi¹³djɤ¹³ku⁰									
KNEE_15																			kʰa²²tʰau²⁴hu⁵⁵
KNOW (SOMETHING)_1			toŋ⁵³no²¹																
KNOW (SOMETHING)_2				pɛiʔ²⁴twoŋ⁵³															
KNOW (SOMETHING)_3	ʈ͡ʂɻ̩⁵⁵tɑu⁵¹	ʦɹ̩³³tau⁵⁵			ʦi³³tou²²		ʈ͡ʂɻ̩⁴⁴tau⁵³	ʈ͡ʂɻ̩²¹⁴tɔ³¹					ʈ͡ʂɻ̩³¹tɔ⁴⁴	ʧi⁵²tau³³⁴		ʦɹ̩²¹tau⁴⁵		ʈ͡ʂɻ̩²¹tɑu⁰	
KNOW (SOMETHING)_4																			ʦai⁵⁵jã⁵³
