	Chadian Arabic	Cypriot Arabic	Dhofari Arabic	Egyptian Arabic	Gulf Arabic	Hassaniya Arabic	Iraqi Arabic	Levantine Arabic	Maltese	Modern Standard Arabic	Moroccan Arabic	Najdi Arabic	North Mesopotamian Arabic	Sanaani Arabic	Sudanese Arabic	Tunisian Arabic
BURNING_2	haraɡ	xɑrɑk	ħraːq	ħaraʔ	ħaraɡ	ħrʌɡ	ʜɛraɡ	ħɑrɑʔ	ħɐrɐʔ	ħarɑqa	ħrəq	ənħaraɡ	ħaɣʌq	ħaraɢ	ħaraɢ	ħraq
CLOUD_1	sahaːbaːj			saħaːba	saħaːb				sħɐːbɐ	saħaːba	sħaba	saħaːbah		saħaːb		sħaːb
CLOUD_2		ʕajara	ɣɛːm	ɣɛːma	ɣɛːm		ɣɪe̯ma	ɣɛjmɛ~ɣɛːma		ɣamaːma~ɣɑjm	ɣmama	ɣɛːm	ɣiːm	ɣamaːm	ɣɛːm~ɣamaːm	
CLOUD_3						məzna										
CLOUD_4						nɔww										
COLD_1	baːrid	pɛrɛt	baːrid		bɑːrˤɛd	baːrəd	bɑːrˤɛd	bɛːrɛd	bɪːrɛt	baːrid	barɛd	baːrɛd		baːrid	baːrid	baːrid
COLD_2				saːʔɛʕ̞									sˤqiːʕ			
COME_1	ʤaː	ʒa	ɡaː	ɡɛ	jɑ	ʒa	ʔʤɑː	ɛʒɑ	ʤɪː	ʤaːʔa	ʒa	ʤa	ʤiː	ɡʲɛːʔ	ɡʲa	ʒaː
DIE_1	maːt	mat	maːt	maːt	mɑːt	maːt	mɑːt	maːt	mɪːt	maːta	mat	maːt	mɑːt	mɑːt	mɑːt	maːt
DOG_1	kɛlib	kilp	kɛlb	kalb	ʧalb	kʌlb	ʧalɛb	kalb	kɛlp	kalb	kəlb	ʦalb~kalb	kalib	kalb	kalib	kalb
DRINK_1	ʃɛrɛb	ʃirɛp	ʃraːb	ʃɛrɛb	ʃɛrɛb	ʃrəb	ʃɛrab	ʃɛrɛb	ʃɔrɔp	ʃariba	ʃrəb	ʃɛrɛb	ʃiɣib	ʃirib	ʃɛrɛb	ʃrab
DRY_1				naːʃɛf	nɑːʃɛf		nɑːʃɛf	nɛːʃɛf	nɪːʃɛf			naːʃɛf	niːʃif	naːʃif	nɑːʃif	
DRY_2	jaːbis	jɛpɛs	jaːbis			jaːbəs	jɑːbis			jaːbis	jabəs	jaːbis		jaːbis	jaːbis	
DRY_3																ʃaːjɑħ
EAR_1	udɛn	iðn	ðin	wɛdn	ʔɛðɛn	uːðɔn	ʔiːðɑːn~ʔɛðɛn	ɛdn	wɪdnɐ	ʔuðun	wdən	ʔɛðɛn	əðin	ʔɛðn~ʔuðn	ɑdɑːn	wðin
EARTH (SOIL)_1			tˤiːn			tˤiːn				tˤiːn						
EARTH (SOIL)_2			lqaːʕ				ɡaːʢ							ɢaːʕ		
EARTH (SOIL)_3	turaːb			tɔrɑːb		ʌtraːb	trɑːb	trɑːb					tˤəɣaːb		turɑːb	trɑːb
EARTH (SOIL)_4	ard	ɑrt		ʔɑrd	ɑrðˤ			ʔɑrɛdˤ	ɐrt	ʔardˤ	arədˤ	ɑrðˤ			ɑrdˤ	ʔɑrðˤ
EAT_1	akɛl	kɛl	kil	kal	kal	kaːl	iːaːkuːl	ʔɑkɑl	kɪːl	ʔakala	kla	akal	ʔʌkal	kal	ʔakal	klaː
EGG_1	bɛːda	pɛð	bɛːðˤa	bɛːdˤɑ	bɛːðˤa	bajðˤɑ	bɪe̯ðˤɑ	bɑjdˤɑ	bɐjdɐ	bajdˤɑ	bidˤɑ	bɪe̯ðˤah	bɛðˤa	bajðˤɑh	bɛːdˤɑ	
EGG_2																ʕaðˤma
EYE_1	ʔɛːn	ʕɑjn	ʕɛːn	ʕ̞ɛːn	ʕɛːn	ʕʌjn	ʢɛːn	ʕɑjn	ɐːjn	ʕajn	ʕin	ʕɛːn	ʕɛɛn	ʕajn	ʕajn	ʕiːn
FAR_1	bɛʔiːd	pɛʕiːt	baʕuːd	bɛʕ̞iːd	baʕiːd	bʕiːd	bʢiːd	bɛʕiːd	bɛjt	baʕiːd	bʕid	baʕiːd	bʕiːd	biʕiːd	baʕiːd	bʕiːd
FAT (ORGANIC SUBSTANCE)_1	samɛn								sɪmnɐ	samn						
FAT (ORGANIC SUBSTANCE)_2	dihin	tɔxn		dɛhn	dɛhɛn			dahn		dahn		dɛhɛn		duhn	dihn	
FAT (ORGANIC SUBSTANCE)_3			maʃaħ	ʃaħm	ʃaħam	ʃħam	dasam~ʃaʜam	ʃaħm	ʃɐħɐm	ʃaħm	ʃħɛm	ʃaħm	ʃəħim	ʃaħm	ʃaħm	ʃħam
FAT (ORGANIC SUBSTANCE)_4			qatˤmiːm													
FEATHER_1	riːʃa		riːʃa	riːʃa	riːʃa	riːʃa	riːʃa	riːʃɛ	riːʃɐ	riːʃa	riʃa	riːʃah	ɣiːʃaːji	riːʃah	riːʃ	riːʃa
FINGERNAIL_1	dufr	ðufr	ðˤɑːfuːr	dɑːfɛr~dɔfr	ðˤufɛr	ðˤfər	ʔɛðˤfɛr	dɛfr	dɪfɛr	ðˤifr~ðˤufr	dˤfər	ðˤəfɛr	ʔəðˤfɛɣ	ʔuðˤfur~ðˤufr	dˤufur	ðˤfar
FIRE_1			ħariːq	ħariːʔa	ħariːʤa		ʜariːq~ʜariːɡ	ħariːʔ		ħariːq	ħriqɑ			ħariːɢ		
FIRE_2					ðˤɑwˤ							ðˤɑwˤ				
FIRE_3	naːr		naːr	nɑːr	naːr	nɑːr	nˤaːr	nɑːr	nɐːr	naːr		naːr	nɑːɣ	naːr	nɑːr	nɑːr
FIRE_4		ɔkit														
FISH_1			samaka	samaka	smiʧɑ		sɛmʧa	sɛmkɛ		samaka		samakah	sʌmʌki	samakih	samaka	
FISH_2			sˤɛːd							sˤɑjd				sˤɑjd		
FISH_3	huːt					ħuːt			ħʊːtɐ	ħuːt	ħutɑ			ħuːtih		ħuːta
FLY (MOVE THROUGH AIR)_1	taːr		tˤaːr	tˤɑːr	tˤɑːr	tˤɑːr	tˤɑːr	tˤɑːr	tɐːr	tˤɑːra	tˤɑr	tˤaːr	tˤɑɣ	tˤɑːr	tˤɑːr	tɑːr
FOOT_1			qadam		ʤadam					qɑdam				ɢadam		
FOOT_2	riʤl	iʒr		rɛɡl	riːl	rʒəl	rɛʤɛl	ɛʒr		riʤl	rʒəl	riʤil	ɣiʤil	riɡʲl	rɛɡʲl	
FOOT_3									sɪːʔ							saːq
FOOT_4	kuraː					kraːʕ									kurɑːʕ	
FULL_1			mʕabbiː					mʕabbɛː								mʕɛbbi
FULL_2							mqɑppatˤ									
FULL_3										kaːmil	ʕamər		kaːməl	kaːmil		
FULL_4			matruːs		matruːs		matruːs							matruːs		
FULL_5										mumtaliʔ		məntɛli				
FULL_6	mɛlaːn	mplan		maljaːn		mlaːn		maljaːn~mɛtlɛːn		malaːn				maljaːn	maljɑːn	
GIVE_1				ɛdda							əddɑ			ʔidda	adda	
GIVE_2	ʔanta	tɑ	ʕtˤɑː		ʕɛtˤɑ	ʕtˤɑ	nɛtˤɑ	ʕɑtˤɑː	tɐː	ʔaʕtˤɑː	ʕtˤɑ	ʕətˤɑ	ʕʌtˤɑː			ʕtˤaː
GOOD_1					xɔːʃ		xɔːʃ						xɔːʃ			
GOOD_2				kwajjɛs										kwajjis	kuwajjis	
GOOD_3		taɛp						tˤɑjjɪb	tɐjjɛp	tˤɑjjib						
GOOD_4																baːhi
GOOD_5								mniːħ					mliːħ			
GOOD_6	zɛːn		zɛːn		zɛːn	zajn	zɪe̯n					zɪe̯n				
GOOD_7											məzjan					
GREEN_1	ʔaxadar	xɔðɛr	xðɑːr	ɑɣdɑr	xɑðˤɑrˤ		ʔɑxðˤɑr	ʔɑxdˤɑr	ɐħdɐr	ʔaxdˤɑr	xdˤər	xɑðˤɑrˤ	ʌxðˤɑɣ	ʔaχðˤɑr	ɑχdˤɑr	axdˤir
GREEN_2						ʌxðˤɑr nɛʕnaːʕ										
HAIR_1	ʃaʔur	ʃaʕar	ʃaʕar	ʃɑʕ̞r	ʃaʕar	ʃʌʕra	ʃaʢar	ʃɑʕɛr	ʃɐːr	ʃaʕr	ʃəʕrɑ	ʃaʕar	sɑʕɛɣ	ʃaʕr	ʃɑʕr	ʃʕɑr
HAND_1	id	it	jadd	ʔiːd	iːd~jɛd	ɛjd	iːd	ʔiːd	iːt	jadd	jədd	iːd~jəd	iːd	jad	jad~ʔiːd	jid
HEAD_1	ras		raːs	rɑːs	rˤɑːs	rˤɑːsˤ~rˤɑːs	rɑːs	rɑːs	rɐːs	rɑʔs	rɑs	rˤɑːs	ɣɑːsˤ	rɑʔs~rɑːs	rɑːs	raːs
HEAD_2		mɔx		dɛmaːɣ			sˤmɑːx									
HEAR_1	sɛmiː	simʕe	smaːʕ	sɛmɛʕ̞	sɛmaʕ	smʌʕ	sɛmaʢ	sɑmɑʕ	sɛmɐ	samiʕa	sməʕ	samiʕ	simiʕ	simiʕ	sɛmɛʕ	smaʕ
HEART_1	ɡɛlb	kɑlp	qɑlb	ʔalb	ɡalˤb	ɡʌlb	ɡalˤubˤ	ʔalb	ʔɐlp	qɑlb	qəlb	ɡalˤb	qʌlib	ɢalb	ɢalb	qalb
HEART_2							fˤfˤɑːd			fuʔaːd			ffɑːd			
HEAVY_1	tɑɡiːl	θkiːl	θiqiːl	tɛʔiːl	θaɡiːl	əθ̬ɡiːl	θɛɡiːl	tʔiːl	tʔiːl	θaqiːl	tqil	θaɡiːl	θʌqiːl	θaɢiːl	tɑɢiːl	θqiːl
HORN (ANATOMY)_1	ɡurn		qaran	ʔɑrn	ɡɑrn	ɡʌrˤn	ɡɛrɛn	ʔɑrn	ʔɐrn	qɑrn	qərn	ɡarn~ʣarn	qʌɣin	ɢarn	ɢɑrn	ɡarn
I_1	ana	ana	aːnaː	ana~dana	ɑːna	aːna	ʔɑːniː	ʔɑnɑ~ʔana	jɪːn	ʔanaː	anɑ~anajɑ	ana	anɑː	ʔanɛ	ana	ɛːnɛ~aːna
KILL_1					ðɛbaħ					ðabaħa		ðɛbaħ				
KILL_2	katal		qtaːl	ʔatal	ɡɛtal	ktəl	kɛtal	ʔɑtɑl	ʔɐtɛl	qɑtala	qtal	kɛtal	qʌtal	ɢatal	katal	qtal
KILL_3		maɛt		mawwɛt	mawwat											
KNEE_1	rukba		rikba	rɔkba	riʧba~rukba	rɔkba	rukbɑ	rɛkbɛ	rkɔppɐ	rukba	rukbɑ	rikbah	ɣəkbaj	rukbih	rukba	rukba
KNOW (SOMETHING)_1												xabar			χɛbɛr	
KNOW (SOMETHING)_2			diraː		dɛrɑ		dɛrɑ	dɛri		darɑ		dara		dɛri		
KNOW (SOMETHING)_3	ʔarɛf	ʕirɛf	ʕrɑːf	ʕ̞ɛrɛf	ʕɛrɑf	ʕrɑf	ʢɛrɑf	ʕarɛf~ʕɛrɛf		ʕalima~ʕarifa	ʕrəf	ʕarif	ʕiɣif	ʕirif~ʕilim	ʕirif	ʕraf
KNOW (SOMETHING)_4									jɐːf							
LEAF_1	warʃaːl~warɡa	varka			wruɡa	warˤɡa	warɡa	wɑrʔɑ	wɛrʔɐ	waraqɑ	wərˤqɑ	waraɡah	waɣʌqɑ	waraɢih	waraɢa	warqa
LEAF_2				waraʔɛt ʃɑɡɑr												
LEAF_3			ħuːsˤɑ													
LIE (REST)_1				ɛtsɑltˤɑħ				tsˤɑtˤtˤɑħ								
LIE (REST)_2					ntˤɛrɑħ		nʤɛtˤɑl~nbutˤɑʜ					ənʤɛdɛʕ			inbɑtˤɑħ	
LIE (REST)_3	rɛɡɛd									raqɑda					rɑɢɑd	
LIE (REST)_4	takka		tkaː			tkɑ					təkkɑ			tke		
LIE (REST)_5			mtadd	ɛtmaddɛd		tmadda			mtɛt	tamaddada	tmədd		tmaddʌd	mtadd		tmad
LIE (REST)_6		nnajm														
LIVER_1							mɛʢlaːɡ									
LIVER_2													mɛʕlaːq lʌħmɑɣ			
LIVER_3									fwɪːt	fuʔaːd						
LIVER_4	kɛbd	kaspe	kibda	kɛbd~kɛbda	ʧabd	kʌbda	kabɛd	kɛbɛd		kabad	kəbdɑ	ʦabd~kabd	kabad	kabid	kibdɑ	kibda
LONG_1	tɑwiːl	tviːl	tˤɑwiːl	twiːl	tˤɑwiːl	ətˤwiːl	tˤɑwɪe̯l	tˤɑwiːl	twiːl	tˤɑwiːl	tˤwil	tˤuwiːl	tˤʌwiːl	tˤɑwiːl	tˤɑwiːɛl	twiːl
LOUSE_1	ɡɛmɛl	kamplɛ		ʔamlaːja	ɡamla	dʌmla	ɡamlˤa	ʔamlɛ	ʔɐmlɐ	qamla	qəmlɑ	ɡamlah	qʌmli	ɢummalih	ɢamla	qamla
LOUSE_2			ʃniːt													
MAN_1	raʤul~raːʤil		riɡɡiːl~riɡɡaːl	rɑːɡɛl	rajjɑːl	rɑːʒəl	rɛʤʤɑːl	rɛʒʒaːl	rɐːʤɛl	rɑʤul	rˤaːʒəl	raʤʤaːl	ɣiʤiːl	raɡʲɡʲaːl	rɑːɡʲil	raːʒil
MAN_2		intsan														
MANY_1			waːɡid		wɑːjɛd							waːʤid				
MANY_2							hwɑːja									
MANY_3						jaːsər										
MANY_4														zijaːdih		
MANY_5											bəzzaf					barʃa
MANY_6	katiːr	xtiːr	kiθiːr	kɛtiːr				ktiːr		kaθiːr		kəθiːr	ksiːɣ		katiːr	
MANY_7														χɑjrɑːt		
MEAT_1	lɛham	laxm	laħam	laħma	laħam	lħʌm	laʜam	lɑħm	lɐħɐm	laħm	lħam	laħam	laħim	laħm	laħm	lħam
MOON_1	ɡamar	kamar	qmaːr	ʔɑmɑr	ɡumɑr	qʌmʌrˤ~ɡamrˤa	ɡumɑr	ʔɑmɑr	ʔɐmɐr	qɑmɑr	qəmr	ɡumɑr~ɡɛmar	qʌmʌɣ	ɢamɑr	ɢɑmɑr	ɡamra
MOUNTAIN_1		ʒipɛl	ɡabiːl	ɡabal	jɛbal		ʤɛbal	ʒabal		ʤabal	ʒbal	ʤɛbal	ʤabal	ɡʲabal	ɡʲabal	ʒbal
MOUNTAIN_2	haʤar															
MOUNTAIN_3						kədja										
MOUNTAIN_4									ɔːljɐ							
MOUNTAIN_5									mʊntɐnjɐ							
MOUTH_1				bɔʔʔ	buːz											
MOUTH_2		xank		ħanak	ħalʤ		ʜalɛɡ		ħɐlʔ			ħalɡ				
MOUTH_3	xaʃɛm														χaʃm	
MOUTH_4			θɔːm		θamm	vˤumm		tɛmm	fɔmm	famm	fumm	θɛmm~famm	θimm	fumm		fum
NAME_1	ʔusm	ism	ism	ɛsm	asɛm	ism	ɛsm	ʔɛsɛm	ɪsɛm	ʔism	səm	ɛsm	isim	ʔism	ism~sammu	ism
NEAR_1						ħða		ħadd	ħdɛjn		ħdɑ					ħðɛː
NEAR_2		ʒump		ɡamb	jamm		jamm						jʌmm	ɡʲamb		
NEAR_3	ɡariːb		qurb~qɑriːb	ʔɔrɑjjɛb	ɡarˤiːb	ɡrʌjjəb	qɑrˤiːb	ʔariːb	ʔriːp	qɑriːb~biqurb	qrib	ʣəriːb	qʌɣiːb	ɢariːb	ɢariːb	qriːb
NECK_1							ʢunɛɡ		ɔːnʔ	ʕanq	ʕənq					
NECK_2	rɛɡaba	raɣbe	raqba	raʔaba	rɡuba	raɡba	ruɡbɑ	rɑʔbɛ		raqaba			ɣʌqqabi	raɢabih~ruɢbih	raɢaba	raqbaː
NECK_3												ʕɛlba				
NEW_1	ʤɛdiːd	ʒtiːt	ɡadiːd	ɡɛdiːd	jadiːd	ʒdiːd	ʤɛdiːd	ʒdiːd	ʤdiːt	ʤadiːd	ʒdid	ʤədiːd	ʤdiːd	ɡʲadiːd	ɡʲadiːd	ʒdiːd
NIGHT_1	llɛːl	lajl	lɛːl	lɛːla	lɛːl	lɛjl	lɪe̯l	lɛjlɛ~lɛːla	lɛjl	lajla	lil	lɛːl	lɛl	lajlih	lɛːla	liːl
NOSE_1										ʔanf	nif					
NOSE_2			xuʃum		xaʃɛm		xaʃɛm					xaʃim	xʌʃim			xʃam
NOSE_3	muxɛr	mɑxur		maraxiːr				manxɑr	mnɪːħɛr					nuχrih	nɑχrɑ	mnɛːxɛr
NOSE_4						xnaːvɛr										
NOT_1	maː	ma~maj	maː	mɛʃ~mɔʃ~ma   ʃ	mu~ma	maː~maːhu	muː~mɑ	mɛʃ~mu~mɑ	mʊːʃ	maː	maʃi~ma   ʃ	muː~ma	mɒː	maːʃ~ma   ʃ	ma~muʃ	muːʃ~ma   ʃ
NOT_2			lɔːb		mɔːb											
NOT_3		la	lɑː		laː	laː	lɑː			laː~lam~lan		la		lɑː		
ONE_1	waːhid~wahdɛ	ɛxɛn~ɛxtɛ	waːħad~waːħada	waːħɛd~waħda	wɑːħɛd~wɛħdɛ	waːħid~waħda	wɑʜɛd~wɛʜdɛ	wɑːħɑd~wɑħdɛ	wɪːħɛt	waːħid~waːħida	waħɛd~wɛħdɑ~wɛħdin	waːħid~wɛħdɛ	wiːħəd~wiħdi	waːħid~waːħidih	wɑːħɛd~wɛħdɛ	waːħid~wɛːħda
PERSON_1				ʃɑxsˤ				ʃaxsˤ		ʃɑxsˤ		ʃaxɛs				ʃɑxsˤ
PERSON_2							baʃɑr	bɑʃɑr		baʃɑr	bɑʃɑr	baʃar	bɑʃɑr	baʃar		
PERSON_3				nɑfɑr	nafs					nafɑr~nafs					nɑfɑr	
PERSON_4		intsan		ʔɛnsaːn	ʔɛnsɑːn		ʔɛnsɑːn	ʔɛnsaːn		ʔinsaːn	nsan	ʔɛnsaːn	ənsaːn	ʔinsaːn	ʔinsɑːn	insaːn
PERSON_5	naːdum		aːdami	baniʔaːdam	ʔɑːdmi~ʔɛbɛn ʔɑːdam	mnaːdəm	ʔɑːdmi~banjɑːdam	bənɛːdɑm	bnɪːdɛm	ʔibn ʔaːdam	bnadɛm	ʔaːdmi	ʔaːdmi	ʔaːdami		
RAIN (PRECIPITATION)_1	matar		mɑtˤɑr	mɑtɑr	mutˤɑr		mutˤɑr			mɑtˤɑr		mutˤɑr	mɑtˤɑɣ	matˤɑr	mɑtˤɑr	
RAIN (PRECIPITATION)_2		ʃite		ʃɛta				ʃɛti~ʃitɛː	ʃɪtɐ		ʃtɑ					ʃtaː
RAIN (PRECIPITATION)_3						ʌsħaːb										
RED_1	ahmar	ɑxmɑr	ħmaːr	ɑħmɑr	ħɑmɑrˤ	ʌħmɑr	ʔɑʜmɑr	ʔɑħmɑr	ɐħmɐr	ʔaħmɑr	ħmər	ħɑmɑrˤ	ʌħmɑɣ	ʔaħmɑr	aħmɑr	aħmar
ROAD_1				sɛkka											sikka	
ROAD_2	dirib	tɑrp			darɛb		darɛb	darb		darb		darəb	daɣib	darb		
ROAD_3	tariːɡ	triːk	tˤɑriːq	tɑriːʔ	tˤɑriːɡ	tˤriːɡ		tɑriːʔ	trɪːʔ	tˤɑriːq	tˤriq	tˤɑriːɡ	tˤriːq		tˤɑriːɢ	tˤriq
ROOT_1			ɡiðar	ɡɛdr	ʤaðɛr					ʤaðr	ʒdər	ʤaðɛr	ʤʌðiɣ	ɡʲiðr	ɡʲazr	
ROOT_2	ʔiriɡ				ʕirʤ	ʕɛrɡ	ʢɛrɛɡ	ʃɛrʃ	ɛːrʔ	ʕirq			ʕiriq		ʕɛrɢ	ʕirq
ROUND_1	mudawwar			mɛdɑwwɑr	mdawwɑr		mdawwar	mdɔwwɛr			mdˤuwwər	mdawwɑr	mdawwiɣ	mdawwɑr~mukawwɑr	mudˤawwɑr	mdawwir
ROUND_2										mustadiːr						
ROUND_3						mzʌɡnən										
ROUND_4		strɔnʤili														
SALT_1	mɛlh	milx	milħ	malħ	mɛlħ	məlħ	mɛlɛʜ	malħ	mɛlħ	milħ	məlħ	mɛlħ	miliħ	milħ	milħ	milħ
SAND_1	ramla		rɑmɑl	rɑmlɑ	rˤɑmɛl		rɑmulˤ	rɑml	rɐmɛl	raml	rəmlɑ	rˤɑməl	ɣɑməl	rɑml	rɑmlɑ	rmal
SAND_2						traːb										
SAND_3						ləħasˤ										
SAY_1	ɡaːl	kal	qaːl	ʔaːl	ɡaːl	ɡaːl	ɡɑːl	ʔɛːl	ʔɐːl	qɑːla	ɡal	ɡaːl	qɑːl	ɢaːl	ɢɑːl	qaːl
SEE_1		ra							rɐː	rɑʔaː						raː
SEE_2	ʃaːf		ʃaːf	ʃaːf	ʧɑːf	ʃaːv~rˤaːʕi v	ʃɑːf	ʃaːf			ʃaf	ʃaːf			ʃɑːf	ʃaːf
SEE_3													ɣiʃiʕ			
SEE_4														ʔibsɑr		
SEED_1				taʔaːwi											tɑɢɑːwi	
SEED_2												ʕaʤmah	ʕəʤɔ			
SEED_3							ʜabba			ħabba			ħʌbb	ħabbih		
SEED_4	bizrɛ	pizr	biðara	bɛzr	bɑdɑr~bazir		bazra~bɑðrɑ	bɛzr		biðra~bizr			baziɣ	baðarih	bazr	
SEED_5									zɛrrɪːjɐ	zarʕ	zərriʕa					zurriːʕa
SEED_6	tɛːraːb					ʒəɡraːʒ									tirɑːb	
SHORT_1	ɡisɑjjɑr		qasˤʕuːr~qasˤiːr	ʔɔsɑjjɑr	ɡasˤiːr	ɡsˤajjər	ɡsˤɑjjɛrˤ	ʔsiːr	ʔɐsiːr	qɑsˤiːr	qsˤirˤ	ɡəsˤiːr	qʌsˤijjəɣ	ɢasˤiːr	ɢusˤɑjjɑr	qsˤiːr
SHORT_2		xmiːn														
SIT_1	ɡaʔad	kaʕa		aʕ̞ad	ɡɛʕad	ɡʕʌd	ɡɛʢad	ʔɑʕɑd	ʔɐːt	qaʕada		ɡaʕad			ɢaʕad	qʕad
SIT_2			ɡlaːs		jɛlas					ʤalasa	ɡləs			ɡʲalas		
SIT_3													nɛbɛsˤ			
SIT_4													bəʧɛx			
SKIN (HUMAN)_1					baʃara			baʃara		baʃarɑ				baʃarih		
SKIN (HUMAN)_2	ʤild		ɡild	ɡɛld	jɛld	ʒəll	ʤɛlɛd	ʒɛld	ʤɪldɐ	ʤild	ʒəld	ʤɛld	ʤilid	ɡʲild	ɡʲɛld	ʒilda
SLEEP_1	rɛɡɛd				raɡad	rɡəd			rɐʔɐt	raqɑda				raɢad		rqad
SLEEP_2	naːm	nam	naːm	naːm	nɑːm		nɑːm	naːm		naːma	nʕas	naːm	nɑːm		nɑːm	
SMALL_1	saxajjar	zɛʕiːr	sˤɑɣiːr	sɔɣɑjjɑr	zɑɣiːr~sˤɑɣiːr	sqiːr~sqajjər~sɣiːr~sɣajjər	zɣɑjjɛrˤ	sˤɣiːr~zɣiːr	zɛjr	sˤɑɣiːr	sˤɣirˤ	sˤuɣɛːr~sˤəɣiːr	əsˤɣɑjjəɣ	zɑɣiːr~zuɣajri	suɣɑjjɑr	sˤɣiːr
SMOKE (EXHAUST)_1	duxxaːn	tixxan	duxxaːn~duxxiːn	dɔxxaːn	dɛxxɑːn	dəxxaːn	duxxɑːn	dɔxxaːn	dʊħħɐːn	duxxaːn	duxxan	dəxxɑːn	dixxaːn	duχχaːn	duχχaːn	duxxaːn
SNAKE_1				tɛʕ̞baːn						θuʕbaːn					θuʕbɑːn	
SNAKE_2	daːbi~dɛbiːb				daːb							daːbb			dɑbiːb	
SNAKE_3									lɪfɐ	ʔafʕa	lfʕa					
SNAKE_4		ʕɑfɑ														
SNAKE_5			sˤɛll				sˤɛlˤlˤ									
SNAKE_6			ħaniːʃ		ħanaʃ	ħnaʃ				ħanaʃ	ħənʃ			ħanaʃ		ħnaʃ
