	Azerbaijani	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Siberian Tatar	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur	Yakut
BIRD_2	ɡuʃ	qoʃ	qus~quʧɑq		quʃ	kus	køtør	kuʃ	qus		kuʃ~kus	qʊs	χus		quʃ	quʃ	qus	quʃ	quʃ	quʃ	quʃ	quʃ	quʃ	qoʃ	quˤʃqɑʃ	kuʃ	ɡuʃ	quʃ	quʃ	quʃ	qus~qos	køtør
BIRD_3				kɑjɤ̆ʷk																												
BITE_1				ɕɯrt			ɯtɯr						ɯzɯr								ɯzɯr				ɯˤsɯr	ɯsɯr		ɯzɯr				ɯtɯr
BITE_2								dɑlɑ																								
BITE_3	ɡɑp		qɑp							qɑp		qɑp			χɑp		qɑp															
BITE_4	diʃlæ	teʃlɛ			tiʃle	tislɑ			tisle		tiʃle~ʧiʃle	tɘste				tiʃtø	tisle	tiʃte	tiʃle	ʧɯːʃle			tiʃte	teʃlɛ			diʃle		ʧiʃlɛ	tiʃlɑ	teste~tiste~tɯste	
BLACK_1	ɡɑrɑ	qɑrɑ	qɑrɑ	χurɑ	qɑrɑ	kɑrɑ	kɑrɑ	kɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ~qɑrɑ	qɑrɑ	χɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	qɑrɑ	kɑrɑ	ɡɑrɑ	qɑrɑ	qɑrɑ	qɔrɑ	qɑrɑ	χɑrɑ
BLOOD_1	ɡɑn	qɑn	qɑn		qɑn	kɑn	kɑɑn	kɑn	qɑn	qɑn	kɑn~qɑn	qɑn	χɑn	qɑːn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	qɑn	kɑn	ɡɑːn	χɑn	qɑn	qɔn	qɑn	χɑːn
BLOOD_2				jun																												
BONE_1							oŋuok																									uŋuoχ
BONE_2	symyc			ʃømø	kemik			kemik											syŋyk	seniχ						cemic	θyŋk		søŋɛk~syŋɛk		sɯmɯq	
BONE_3		højɛk	søøk			souɑt			syjek	syjek	sivek~syjek	syjek	søøk		syjek	søøc	syjek	søøk~søk			søːk	syøk	søøk	søjɛk	søøk			søøk	syjɛk	sujɑk		
BREAST_1	døʃ	tyʃ	tøs			tos	tyøs	ɡyːs	tøs~ɡewde	tøʃ	tøʃ~tes	tøs~kewde		kiːes~køjs	tøʃ			tøʃ	tøʃ		tøʃ	tyʃ	tøʃ	tyʃ	tøʃ	ɟøːys	døʃ				ɡøs~tos~tus~tys	tyøs
BREAST_2	cøcs	kykrɛk		køɡør	kokys	køksuɡ~køɡis			køkyrek	køkyrek	køkrɛk~kekrek~køkrek~køkis~køχis	køkrek	køɡɘs~køksɘ		køkyrek	cøcyrøc	køkirek	køɡys	køɡyz	kyprɛχ		køkrɛk~kykrɛk	køɡys	kykrɛk			kykrek		køkrɛk~køksɛ	kokrɑk		
BURN_1											kyv~kiv~tiv														qɯˤp			qɯp				
BURN_2														kien					kyn													
BURN_3				ɕun					ʒɑn			ʒɑn				ʤɑn																
BURN_4	jɑn	jɑn			jɑn			jɑn			jɑn				jɑn		jɑn					jɑn		jɑn		jɑn	jɑn		jɑn	jɔn		
BURN_5			koj			kyj	ɡydeːrij			kyj			køj			cyj		kyj	kyj	køj	køj		kyj						køj		kyj	
BURN_6																																umɑj
CLAW_1	ʤɑjnɑɡ	tɯrnɑq	tərɣɑq	ʧɘrne	tɯrnɑq	termɑk	tɑrbɑk	tɯrnɑk	tɯrnɑq	tɯrnɑq	tɯrnɑχ	tɯrnɑq	tɯrɣɑχ		tɯrnɑq	tɯrmɑq	tɯrnɑq	tɯrvɑq~tɯrbɑq			tɯrɣɑq		tɯrmɑχ	tɯrnɑq	dɯrbɑq	tɯrnɑk	dɯrnɑq	dɯrbɑq	tirmɑq	tirnɔq		tɯŋɯrɑχ
CLOUD_1	bulut	bolot	pulut	pɘ̆ʷlɘ̆ʷt	bulut	bulut	bɯlɯt	bulut	bult	bulut	bulut	bʊlt	pulut	bulɯt	bulut	buɫut	bulɯt	pulut	bulɯt	pulut~polut	pulut	polot~pulut	bulut	bolɯt	bulut	buɫut	bulut	bulut	bulut	bulut	pulut~pɯlɯt	bɯlɯt
COLD_1							tɯmnɯː																									tɯmnɯː
COLD_2						sɑoɡh																									tot	
COLD_3	sojuɡ		sooq	sivɘ	suvuq			suːk	suwɯq	suwuq	suvuk~suvuχ	suɯq	sooχ	sovuq	suwuq	suuq	suwɯq	sooq	soɣɯq	soχ	soːq		sooq	suɯq	sooq	soːuk	θowuq	sooq	soɣuq	sɔvuq		
COLD_4		hɯwɯq																														
COLD_5														buːz																		
COME_1	ɟæl	kil	kæl	kil	kel	kel	kel	ɡel	kel	kel	kel	kel	kil	kɛl	ɡel	cel	kel	kel	kel	ɡel	kel	kël	kel	kil	kel	ɟelʲ	ɡel	kel	kɛl	kel	kel	kel
COUNT_1							ɑk																									ɑːχ
COUNT_2	sɑj	hɑnɑ	sɑnɑ		sɑj			sɑj	sɑnɑ	sɑnɑ	sɑj~sɑn	sɑnɑ	sɑnɑ	sɑːɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑʲ				sɑnɑ	sɑnɑ	sɑj	θɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	sɑnɑ	
DIE_1	øl	yl	øl		øl	ol	øl	øl	øl	øl	øl	øl	øl		øl	øl	øl	øl	øl	ul	øl	øl	øl	yl	øl	ølʲ	øl	øl	øl	ol	jul	øl
DIE_2				vil																												
DIRTY_1			kɘrlɘɣ		kirli		kirdeːk		kirli	kir			kɘrlɘɡ			cir	kirli	kir~kirliɡ	kirliɡ		kirliɡ		kirly~kyrly			cirlʲi	kirli	χirliɡ	kir	kir	ker~kerlʲe	kirdeːχ
DIRTY_2	bulɑʃɯɡ	bɯsrɑq			bulɑʃɯq			bulɑʃɯk			bɯlɑʃɯq													pɯʧrɑq								
DIRTY_3																									hɘrlɘɣ							
DIRTY_4						sɑsi																										
DOG_1																				iʃt									iʃt		ɯʃt~eʃt	
DOG_2	it	et	ɑdɑj	jɯdɤ̆ʷ		it	ɯt		ijt	it	it	it	ɑdɑj	it	it	it	ijt	ijt~it	ɯt		ɑdɑj	it	it	et			it	ɯt		it		ɯt
DOG_3					køpek			køpek																		cøpec						
DOG_4																									ʧɯdɯɣ							
DRINK_1	iʧ	es	iʧ	ɘɕ	iʧ	yʃ~iʃ~yʧ~iʧ	is	iʧ	iʃ	iʧ	iʧ~iʦ	ɘʃ	ɘs	iʧ	iʧ	iʧ	iʃ	iʧ	iʧ	iʧ	iʃ	ëʧ	iʧ	eʧ	iʃ	iʧ	iʧ	iʃ	iʧ	iʧ	iʧ~iʃ~eʧ	is
DRY_1			keːbɘɣ	tibɘ																												
DRY_2	ɡuru	qoro			quru	kuru~kɑk	kurɑːnɑk	kuru~kurɑk	qurɣɑq	qurɣɑq~quru	kurɣɑk	qʊrɣɑq	χuruɣ	qurruɣ	quru	qurɣɑq	qurɯ	kuru	quruɣ	kuru	quruɣ	qɑq	qurɣɑχ	qorɯ	qurɣɑɣ	kuru	ɡurɯ	qurɣɑɣ	quruq	quruq	qurlyɣ	kurɑːn
EAR_1	ɡulɑɡ	qolɑq	qulɑq	χølɣɑ	qulɑq	kulɑɡ	kulɡɑːk	kulɑk	qulɑq	qulɑq	kulɑk~kulɑχ~qulɑq	qulɑq	χulɑχ	qulɑːq	qulɑq	quɫɑq	qulɑq	qɯlɑq~qulɑq	qulqɑq	qulɑχ	qulɑq	qolɑq~qulɑq	qulɑq	qolɑq	qulɑq	kuɫɑk	ɡulɑq	qulɑq	qulɑq	qulɔq	qulɑq	kulɡɑːχ
EARTH (SOIL)_1	torpɑɡ	tuprɑq	toβrɑq	tøprɑ	toprɑq			toprɑk	topɯrɑq	toprɑq	toprɑq	topɯrɑq	tobɯrɑχ	turpɑq	topurɑq	topurɑq	topɯrɑq	toprɑq	toprɑq		tobrɑq		tobrɑq	tufrɑq	toˤprɑq	toprɑk	toprɑq	dovurɑq	toprɑq	tuprɔq	torvɑq~tɯrvɑq	
EARTH (SOIL)_2			ʧɛr	ɕɘr			buor		ʒer	ʤer		ʒer	ʧir			ʤer		cer~ɟer			ʧer		ɟer	ʤir	ʧer							sir~buor
EARTH (SOIL)_3	jer	jer			jer	ier~jer		jer			jer			jer	jer		jer	jer	jer			jer				jer	jer		jɛr	jer	jer	
EARTH (SOIL)_4							hir																									
EAT_1	je							i						jeːe			je		je	je~ji		jë				je	ij		ji	je	je~ji	
EAT_2							ɑhɑː~hie																									ɑhɑː
EAT_3		ɑʃɑ	ʧi	ɕi	ɑʃɑ	ɑʃɑ			ʒe	ɑʃɑ	ɑsɑ~ɑʃɑ	ʒe	ʧɘ		ɑʃɑ	ʤe	ɑʃɑ	ci	ɑʃɑ		ʧiː	ɑʃɑ	ɟi	ɑʃɑ	ʧi			ʧi			ʤi	sie
EAT_4																							ɑʒɑn		nemne			ʧemne				
EGG_1																															ojɑ~ujɑ	
EGG_2													nɯmɯrχɑ												ɲumurhɑ							
EGG_3																												ʧuurɣɑ				
EGG_4				ɕømɑrdɑ			hɯmɯːt																									sɯmɯːt
EGG_5	jumurtɑ	jomortqɑ	ʧumurtqɑ		jɯmɯrtɑ	jumurtkɑ		jɯmɯrtɑ			jumurtχɑ	ʒʊmɯrtqɑ		jumurqɑ	jɯmɯrtqɑ	ʤumurtqɑ	jumɯrtqɑ	ɲurtqɑ~ɲɯmɯrtqɑ	jumurɣɑ	jomurtɑ~jumotor	nɯbɯrtqɑ	jomɯrtqɑ	ɟɯmɯrtχɑ	jomɯrqɑ		jumurtɑ	jumurtɡɑ					
EYE_1	cøz	kyð		kuɕ	køz	køʃ		ɡøz	køz	køz	køz~kez	køz		køz	ɡøz	cøz	køz	køs	køz	koz		køz	køs	kyz		ɟøz	ɡøð		køz	koz	kyz~køz	
EYE_2			qɑrɑq				kɑrɑk						χɑrɑχ								qɑrɑq				qɑrɑq			qɑrɑq				χɑrɑχ
FALL_1			ɑŋnɑl										ɑŋdɑrɯl																			
FALL_2		jɯɣɯl			jɯqɯl						jɯɣɯl	qulɑ			jɯɣɯl		jɯɣɯl			jɯχɯl		jɯɣɑl		jɯɣɯl			jɯqɯl			jiqil		
FALL_3				yk																												
FALL_4	dyʃ					tuʃ	tys	dyʃ		tyʃ	ʧyʃ	tys	tys	tiʃ		tyʃ		tyʃ	tyʃ	ʤyʤ		tyʃ	tyʃ		tyˤʃ	dyʃ		dyʃ	ʧyʃ			tys
FALL_5									ʒɯɣɯl	ʤɯɣɯl		ʒɯɣɯl				ʤɯɣɯɫ				ʃɑŋkulɑ~ʃøŋ kol	ʧɯɣɯl								ʒiqil	tokil	toqrɑ	
FALL_6											kis tyʃ																					
FAR_1				inʑe																												
FAR_2						yrɑh																										
FAR_3									qɑʃɯq			qɑʃɯq																				
FAR_4														hɯrɑɑq															ʒirɑq			
FAR_5	uzɑɡ	jɯrɑq	ərɑq		uzɑq	yrɑk	ɯrɑːk	uzɑk~jɯrɑk	uzɑq	uzɑq	irɑχ~jɯrɑq		ɯrɑχ		jɯrɑq	ɯrɑɑq	uzɑq	uzɑq~rɑq~ɯrɑɑq	jɯrɑq	jɯrɑχɑr	ɯrɑq	jɯrɑq	uzɑq~ɯrɑɑq	jɯrɑq	ɯrɑq	uzɑk	uðɑq	ɯrɑq	uzɑq	uzoq	uzɑq	ɯrɑːχ
FAT (ORGANIC SUBSTANCE)_1		mɑj							mɑj			mɑj			mɑj	mɑj	mɑj					mɑj		mɑj					mɑj			
FAT (ORGANIC SUBSTANCE)_2	jɑɣ				jɑɣ	jɑv		jɑː			jɑv			jɑːɑɣ				jɯɣ	jɑɣ	jɑɣ						jɑː	jɑɣ		jɑɣ	jɔɣ		
FAT (ORGANIC SUBSTANCE)_3			ʧɑɣ										ʧɑɣ								ʧɑɣ				ʧɑɣ							
FAT (ORGANIC SUBSTANCE)_4													ys															ys				sɯɑ
FAT (ORGANIC SUBSTANCE)_5				ɕu						ʤɑw													ɟu									
FAT (ORGANIC SUBSTANCE)_6																															tønɑχ	
FAT (ORGANIC SUBSTANCE)_7							hɯɑ																									
FEATHER_1	lælæc					junɡ																					jelek					
FEATHER_2							tyː	tyj																		tyj						tyː
FEATHER_3	tyc		tyk	tɘ̆ʷk							tik		ʧyɡ		tyk			tyk	tysi		ʧyɡ				tyk			ʧyɡ				
FEATHER_4					qɑnɑt					qɑnɑtlɯ tyk													qɑnɑt									
FEATHER_5																				mimiluχ												
FINGERNAIL_1	dɯrnɑɡ	tɯrnɑq	tərɣɑq	ʧɘrne	tɯrnɑq	termɑk	tɯŋɯrɑk	tɯrnɑk	tɯrnɑq	tɯrnɑq	tɯrnɑk	tɯrnɑq	tɯrɣɑχ	tɯrnɑq	tɯrnɑq	tɯrmɑq	tɯrnɑq	tɯrɣɑq~tɯrbɑq	tɯrŋɑq~tɯŋrɑq	tɯrnɑχ	tɯrbɑq		tɯrmɑχ	tɯrnɑq	dɯrbɑq	tɯrnɑk	dɯrnɑq	dɯrɣɑq	tirmɑq	tirnɔq	tɑrmɑq~tɯrmɑq~tɯrvɑq	tɯŋɯrɑχ
FIRE_1	od	ut	ot			ot	uot		ot	ot	ot	ot	ot		ot	ot	ot	ot	ot	ot	ot	ot	ot	ut	ot		oːt	ot	ot		ot	uot
FIRE_2				vut																												
FIRE_3														huːot																		
FIREWOOD_1	odun	utɯn	oːduŋ		odun	odim		odun	otɯn	otun	otun	otɯn	odɯŋ	huːotun		otun	otɯn		otuŋ	otɯn~oʦɯn~uʦɯn	oduŋ	otɯn	odɯn	utɯn		odun	odun		otun	otin	otun~otɯn	
FIREWOOD_2						ɑɡɑʧ									ɑɣɑʧ		ɑɣɑʃ															
FIREWOOD_3							mɑstɑr																		neʃ							mɑs
FIREWOOD_4				vudɤ̆ʷ																												
FIREWOOD_5																												ɯjɑʃ				
FISH_1	bɑlɯɡ	bɑlɯq	pɑːləq	pulɤ̆ʷ	bɑlɯq	bɑlik~bɑluk	bɑlɯk	bɑlɯk	bɑlɯq		bɑlɯk~bɑlɯq	bɑlɯq	pɑlɯχ		bɑlɯq	bɑɫɯq	bɑlɯq	bɑlɯq	bɑlɯq	bɑluχ	pɑlɯq	bɑlɯq	bɑlɯq	bɑlɯq	bɑlɯq	bɑɫɯk	bɑlɯq	bɑlɯq	beliq	bɑliq		bɑlɯk
FISH_2										ʧɑbɑq																						
FIVE_1	beʃ	beʃ	pɛs	pilɘk	beʃ	bes	bies	bulɑʃɯq	bes	beʃ	beʃ	bes	pis	biːeʃ~beːeʃ	beʃ	beʃ	bes	peʃ	beʃ	peʃ	peʃ	pëʃ	beʃ	biʃ	beʃ	beʃ	bɛʃ	beʃ	bɛʃ	beʃ	pis~pes	bies
FLOWER_1	ʧiʧæc	sɛskɛ			ʧiʧek	ʧiʧek		ʧiʧek			ʧeʧɛɡi		ʧɑχɑjɑχ		ʧeʧek		ʃeʃekej	ʧeʤek	ʧeʧek	ʧiʧeχ		ʧiʧɛk	ʧeʧek	ʧɛʧɛk~ʧɛʧkɛ		ʧiʧec		ʧeʧek	ʧeʧɛk		ʧyʧyɡ	
FLOWER_2																									ɑqɑʃ							
FLOWER_3																					ʧɑqkijek											
FLOWER_4							ot																									
FLY (MOVE THROUGH AIR)_1	uʧ	os	uʧ		uʧ	uʧ		uʧ	uʃ	uʧ	uʧ~uʦ	ʊʃ	uʧuχ	uʧ	uʧ	uʧ	uʃ	uʧ~uʃ	uʧ	uʧ~uʃ~yʧ	uʧuq	oʧ~uʦ	uʧ	oʧ	uˤʃ	uʧ	uʧ	uʃ	uʧ	uʧ	uʃ~uʧ~yʧ	
FLY (MOVE THROUGH AIR)_2							køt																									køt
FLY (MOVE THROUGH AIR)_3				vɘ̆ʷɕ																												
FOOT OR LEG_1	ɑjɑɡ	ɑjɑq			ɑjɑq	ɑjɑk~ɑjɑk~ɑjɑk		ɑjɑk	ɑjɑq	ɑjɑq	ɑjɑk	ɑjɑq			ɑjɑq	ɑjɑq	ɑjɑq			ɑjɑχ		ɑjɑq		ɑjɑq		ɑjɑk	ɑjɑq		ɑjɑq	ɔjɔq		
FOOT OR LEG_2				orɑ																												
FOOT OR LEG_3										but					but	but		but	but				but		but			but				
FOOT OR LEG_4			ɑzɑq				ɑtɑk						ɑzɑχ						ɑdɑq		ɑzɑq										ɑzɑq	ɑtɑχ
FOOT OR LEG_5														hɑdɑq																		
FOUR_1	dørd	dyrt	tørt	tøvɑttɤ̆ʷ~tøvɑdɤ̆ʷ~tøvɑt	dørt	tort	tyørt	dørt	tørt	tørt	dørt	tørt	tørt	tøːørt~tyːørt	dørt	tørt	dørt	tørt	tørt		tørt	tørt	tørt	dyrt	dørt	dørt	dørt	dørt	tørt	tort	dyrt~tyrt~tørt	tyørt
FULL_1	dolu	tulɯ	toldərɑ	tulli	tolu	tolu	toloru	dolu	tolɣɑn~tolɯq	tolu	tolu	tolɯ	toldɯrɑ	tuolɑ	tolu	toɫturɑ	tolɯ	toltɯrɑ	tolu	tolu	toldurɑ	tol	tolo	tulɯ	dolu	doɫu	dolɯ	dolu	toluq~tolɑ	tolɑ	tolo~tolu	toloru
GIVE_1	ver	bir	pɛr	pɑr	ber	ber	bier	ver	ber	ber	ber~ver	ber	pir	vier	ber	ber	ber	per~ber	ber	per~ver~ber	per	ber~bɛr	ber	bir	ber	ver	ber	ber	bɛr	ber	per	bier
GOOD_1			ʧɑqsə						ʒɑqsɯ			ʒɑqsɯ	ʧɑχsɯ			ʤɑqʃɯ		cɑqʃɯ~ɟɑqʃɯ			ʧɑqʃɯ		ɟɑχʃɯ									
GOOD_2							yʧyɡej			ɑʃχɯ									edɡy						eˤkkɘ							yʧyɡej
GOOD_3					eji			iji																		iji						
GOOD_4						ejɡi				iɡi							ijɡi											eki				
GOOD_5	jɑχʃɯ	jɑqʃɯ			jɑχʃɯ	jɑksi					jɑχʃɯ~jɑχsɯ				jɑχʃɯ		jɑχʃɯ			jɑχʃi~jɑχʃɑrɑ		jɑqʃɯ		jɑχʃɯ			jɑɡʃɯ		jɑχʃɯ	jɑχʃi	jɑχʃɯ	
GRASS_1									ʃøp		jɑʃot	ʃøp				ʧøp				ʧøp~ʧyp									ʧøp			
GRASS_2				kurɤ̆ʷk		kukel																			køk							
GRASS_3																												siɡen				
GRASS_4		ylɛn			ølen												ølen	øløŋ			øleŋ	ylɛŋ	øløŋ	ylɛn								
GRASS_5	ot		ot		ot		ot	ot			ot		ot	oot	ot						ot					ot	ot	oˤt	ot	ot	oht	ot
GREEN_1										ʤɑʃɯl		ʒɑsɯl				ʤɑʃɯɫ		cɑʒɯl			ʧɑʒɯl		ɟɑʒɯl									
GREEN_2	jɑʃɯl	jɛʃel			jeʃil	jɑs		jeʃil			jesil				jɑʃɯl		jɑsɯl		jɑʃɯl	jɑːʃɯl		jiʃil		jɛʃel		jeʃilʲ	jɑʃɯl		jeʃil	jɑʃil	jɑsɯl	
GREEN_3			kok				kyøk		køk				køk	kyøk~kiek											køk				køk			kyøχ
GREEN_4				simɘs																												
HAIR (HEAD)_1							ɑs																									ɑs
HAIR (HEAD)_2						zɑk									tyk													dyk				
HAIR (HEAD)_3	sɑʧ	sɛs	ʧɑʧ	ɕyɕ	sɑʧ			sɑʧ	ʃɑʃ	ʧɑʧ	sɑʧ~seʧ~ʦɑʦ~ʧɑʧ	ʃɑʃ	sɑs	sɑʧ	ʧɑʧ	ʧɑʧ	ʃɑʃ	ʧɑʧ~ʃɑʃ	sɑʧ	sɑʧ	ʃɑʃ	ʦɑʦ	ʧɑʧ	ʧɛʧ	ʧeˤʃ	sɑʧ	θɑʧ		ʧɑʧ	sɔʧ	sɛʤ~ʃɑʤ~sɑʧ	
HEAD_1	bɑʃ	bɑʃ	pɑs	puɕ	bɑʃ	bɑs	bɑs	bɑʃ		bɑʃ	bɑʃ~bɑs	bɑs	pɑs	bɑːʃ	bɑʃ	bɑʃ	bɑs	bɑʃ~pɑʃ	bɑʃ	pɑʃ~bɑʃ	pɑʃ	pɑʃ~bɑʃ	bɑʃ	bɑʃ	bɑˤʃ	bɑʃ		bɑʃ	bɑʃ	bɔʃ	pɑʃ	bɑs
HEAR_1																									dɯŋnɑ			dɯŋnɑ			tinnɑ	
HEAR_2																uq		uq			uq	uq~oq	uq									
HEAR_3	eʃit	iʃet	ɛs	ilt	eʃit	esit~eʃit	ihit	iʃit	esit	eʃit	esit~eʃit	esɘt	is	iʃyt	eʃit		esit		eʃit	iʃti		iʃit~eʃit		iʃet		iʃit	eʃit		iʃit	eʃit		ihit
HEART_1	yræc	jørɛk			jyrek			yrek			jirek			jirɛk	jyrek		jyrek		jyrek	jiriɡ		jorɛk		jørɛk			jyrek		jyrɛk	jurɑk	jyrek~jørek	
HEART_2			ʧyrek	ʧɘre			hyrek		ʒyrek	ʤyrek		ʒyrek	ʧyrek			ʤyrec		dyrek			ʧyrek		ɟyrek		ʧyrek			ʧyrek	ʒyrɛk			syreχ
HEAVY_1	ɑɣɯr			jɯvɤ̆ʷr	ɑɣɯr	ɑɡer					ɑvur			ɑɣir					ɑɣɯr	ɑɣɯr							ɑɣɯr		eɣir	ɔɣir	ɑɣɯr	
HEAVY_2		ɑwɯr	ɑɑr				ɯɑr	ɑɑr	ɑwɯr	ɑwur		ɑwɯr	ɑɑr		ɑwur	oor	ɑwɯr	ɑɑr			ɑːr	ɑwɯr	uur	ɑwɯr	ɑɑr	ɑːɯr		ɑɑr				ɯɑrɑχɑn
HORN (ANATOMY)_1	bujnuz				bojnuz			bujnuz																		bojnuz						
HORN (ANATOMY)_2		møɡøð	myys	møjrɑɡɑ		munɡus	muos		myjiz	myjyz	myŋyz~miviz	myjɘz	myys		myjyz	myjyz	myjiz	myys	myjyz	moŋus	myːs		myys	møɡez	miis			mɯjɯs	myŋɡyz		moŋus	muos
HOT_1	isti	eθe	izɘɣ			issi	itiː		ɯssɯ	issi	issi	ɯstɯq	ɘzɘɡ		issi	ɯsɯq	issi	iziɡ~yzyɡ	isiɡ	ɯssɯ	iziɡ	isy	izy	esse	iˤsɘɣ			iziɡ	issiq	issiq	issɯɡ	itiː
HOT_2					sɯʤɑq			sɯʤɑk												qɯzɯɡu						sɯʤɑk	ɡɯðɡɯn		qiziq			
HOT_3				vɘri																												
I_1	mæn	min	mɛn		men	men	min		men	men	men	men	min	mɛn	men	men	men	men		men	men	min	men	min	men		men	men	mɛn	men	men	min
I_2				ebɘ				bɛn											ben							ben						
KILL_1				vɘ̆ʷler										hilɛːr																		
KILL_2	øldyr	ylter	øːlyr		øldyr		ølør	øldyr	øltir	øltyr	øldir	øltɘr	ødɘr		øltyr	øltyr	øltir	øltør~øltyr	ølyr	ølter	ødyr	øjtir	øltyr	yter	ølyr	ølʲdyr	øldyr	ølyr	øltyr	oldir	julur	ølør
KILL_3						jɑrɑ et																										
KNEE_1		tubɯq					tobuk			tobuq					tobuq																	tobuk
KNEE_2			təsβɑːzə																						tɘskek							
KNEE_3	diz				tiz	tizɡi~kesi		diz	dize		tyz~tiz~kiz	tɘze	tɘzek	tiːiz		tize	tiz	tize	tiz	tizeχ	tize	tizi~tiz	tize	tez		diz	dɯð	dis	tiz	tiz	tez~tiz	
KNEE_4				ʧɘrɡuɕɕi																												
KNOW (SOMETHING)_1	bil	bel	pɘl	pɘl	bil	bil	bil	bil	bil	bil	bil	bɘl	pɘl	bil	bil	bil	bil		bil	bel	pil	pil	bil	bel	bil	bilʲ	bil	bil	bil	bil	pel~pɯl~bel	bil
KNOW (SOMETHING)_2																		oŋnɑ														
